Elements, fc_18_0, fc_18_1, fcio_18_0, fcio_18_1, wn_18_0, wn_18_1,wnio_18_0, wnio_18_1,mpi_n2_18_0,mpi_n2_18_1,mpi_n4_18_0,mpi_n4_18_1
102045,1.344625,1.409695,1.209135,1.441465,2.282841,2.275024,2.137407,2.234256,2.809348,2.978046,1.573854,1.675662
102045,1.344914,1.409636,1.208923,1.441106,2.282807,2.275012,2.138444,2.233055,2.812712,2.977969,1.575606,1.676165
102045,1.344879,1.409529,1.209422,1.440683,2.28325,2.274738,2.137392,2.236776,2.808059,2.983106,1.5786,1.680822
102045,1.346205,1.412259,1.208701,1.440552,2.282873,2.286487,2.138191,2.233849,2.807905,2.976969,1.571871,1.674495
102045,1.344057,1.409597,1.208721,1.440333,2.283209,2.274599,2.138126,2.233957,2.807546,2.97752,1.572396,1.674648
102045,1.344346,1.40943,1.209355,1.440562,2.282943,2.275347,2.136989,2.234944,2.808306,2.977602,1.572647,1.673054
102045,1.344041,1.409483,1.208533,1.440654,2.283103,2.274917,2.13658,2.234789,2.808408,2.976688,1.572542,1.674807
102045,1.344057,1.409482,1.20908,1.511993,2.282882,2.285646,2.137242,2.234625,2.807697,2.977007,1.572942,1.67497
102045,1.344146,1.409496,1.209368,1.441774,2.282939,2.274572,2.137372,2.233917,2.807723,2.977006,1.573361,1.674516
102045,1.344424,1.409611,1.208464,1.441485,2.283222,2.274876,2.136987,2.233837,2.808274,2.977074,1.573723,1.673078
102045,1.344235,1.409563,1.208775,1.440508,2.282887,2.274507,2.138209,2.234115,2.808436,2.976642,1.571718,1.67448
102045,1.344019,1.409611,1.208091,1.440333,2.282914,2.28517,2.136437,2.233903,2.808589,2.97694,1.57298,1.672543
102045,1.344174,1.409565,1.208934,1.440324,2.283145,2.274482,2.136342,2.233723,2.807769,2.976489,1.571936,1.673871
102045,1.34442,1.409572,1.208923,1.440564,2.282779,2.274418,2.137667,2.233831,2.808039,2.976477,1.57185,1.674286
102045,1.344273,1.409622,1.208976,1.440562,2.282766,2.274443,2.138459,2.234002,2.808248,2.976974,1.572921,1.676465
102045,1.344301,1.40961,1.209,1.440778,2.282841,2.274629,2.138479,2.234058,2.808464,2.977411,1.573248,1.685715
102045,1.344133,1.409634,1.209197,1.441879,2.282766,2.274562,2.138597,2.236707,2.808313,2.976119,1.586476,1.674116
