Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 4, 3, 1.383293, 1.385166, 1.384134,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.383299, 1.384915, 1.384272,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.384038, 1.385806, 1.384629,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.383340, 1.384383, 1.383992,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.384025, 1.384818, 1.384302,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.383312, 1.385647, 1.384339,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.384122, 1.384964, 1.384419,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.383288, 1.384635, 1.383868,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.384112, 1.384825, 1.384386,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.383240, 1.384771, 1.384125,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.383426, 1.384311, 1.383952,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.384128, 1.384699, 1.384313,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.383249, 1.384215, 1.383834,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.383374, 1.384270, 1.383945,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.383268, 1.384592, 1.384081,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.383294, 1.384480, 1.383950,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.384160, 1.385022, 1.384486,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.384106, 1.385181, 1.384564,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.384110, 1.384848, 1.384387,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.383324, 1.586140, 1.484627,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.384129, 1.384766, 1.384366,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.383273, 1.384647, 1.383857,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.383981, 1.384596, 1.384269,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.383252, 1.384581, 1.384021,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.383408, 1.384307, 1.383935,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.383261, 1.385245, 1.384584,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.383303, 1.384576, 1.384055,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.384126, 1.386085, 1.385424,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.383284, 1.384208, 1.383755,383.44, 0.000560743, 1.80086e-06
102045, 4, 3, 1.383239, 1.384986, 1.384018,383.44, 0.000560743, 1.80086e-06
10420, 4, 3, 0.252820, 0.253716, 0.253251,77.25, 0.000217376, 1.01103e-05
10420, 4, 3, 0.252627, 0.253634, 0.253161,77.25, 0.000217376, 1.01103e-05
10420, 4, 3, 0.252841, 0.253816, 0.253307,77.25, 0.000217376, 1.01103e-05
10420, 4, 3, 0.252658, 0.253488, 0.253064,77.25, 0.000217376, 1.01103e-05
10420, 4, 3, 0.252639, 0.254121, 0.253376,77.25, 0.000217376, 1.01103e-05
10420, 4, 3, 0.252838, 0.253904, 0.253338,77.25, 0.000217376, 1.01103e-05
10420, 4, 3, 0.252684, 0.254008, 0.253354,77.25, 0.000217376, 1.01103e-05
10420, 4, 3, 0.252682, 0.253731, 0.253267,77.25, 0.000217376, 1.01103e-05
10420, 4, 3, 0.252653, 0.253838, 0.253253,77.25, 0.000217376, 1.01103e-05
10420, 4, 3, 0.252684, 0.253610, 0.253194,77.25, 0.000217376, 1.01103e-05
10420, 4, 3, 0.252846, 0.253507, 0.253138,77.25, 0.000217376, 1.01103e-05
10420, 4, 3, 0.252669, 0.253823, 0.253282,77.25, 0.000217376, 1.01103e-05
10420, 4, 3, 0.252666, 0.253802, 0.253245,77.25, 0.000217376, 1.01103e-05
10420, 4, 3, 0.252661, 0.253706, 0.253201,77.25, 0.000217376, 1.01103e-05
10420, 4, 3, 0.252674, 0.253989, 0.253392,77.25, 0.000217376, 1.01103e-05
10420, 4, 3, 0.252659, 0.253464, 0.253010,77.25, 0.000217376, 1.01103e-05
10420, 4, 3, 0.252837, 0.253957, 0.253392,77.25, 0.000217376, 1.01103e-05
10420, 4, 3, 0.252642, 0.254068, 0.253358,77.25, 0.000217376, 1.01103e-05
