Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 4, 3, 1.288409, 1.291861, 1.289922,388.04, 0.000560743, 1.84362e-06
102045, 4, 3, 1.288769, 1.290257, 1.289320,388.04, 0.000560743, 1.85435e-06
102045, 4, 3, 1.287826, 1.289660, 1.289015,388.04, 0.000560743, 1.80189e-06
102045, 4, 3, 1.288762, 1.295379, 1.292604,388.04, 0.000560743, 1.93982e-06
102045, 4, 3, 1.288821, 1.290329, 1.289316,388.04, 0.000560743, 1.85472e-06
102045, 4, 3, 1.287717, 1.289273, 1.288393,388.04, 0.000560743, 1.80096e-06
102045, 4, 3, 1.288532, 1.289944, 1.289091,388.04, 0.000560743, 1.91996e-06
102045, 4, 3, 1.288815, 1.290144, 1.289299,388.04, 0.000560743, 1.93882e-06
102045, 4, 3, 1.288790, 1.290284, 1.289350,388.04, 0.000560743, 1.93914e-06
102045, 4, 3, 1.288812, 1.290259, 1.289219,388.04, 0.000560743, 1.85529e-06
102045, 4, 3, 1.288811, 1.289965, 1.289378,388.04, 0.000560743, 1.85465e-06
102045, 4, 3, 1.287844, 1.289312, 1.288423,388.04, 0.000560743, 1.80348e-06
102045, 4, 3, 1.287851, 1.289555, 1.288569,388.04, 0.000560743, 1.80444e-06
102045, 4, 3, 1.288445, 1.289887, 1.289039,388.04, 0.000560743, 1.87262e-06
102045, 4, 3, 1.287815, 1.289733, 1.288574,388.04, 0.000560743, 1.80224e-06
102045, 4, 3, 1.288840, 1.289288, 1.289057,388.04, 0.000560743, 1.85446e-06
102045, 4, 3, 1.288720, 1.290063, 1.289541,388.04, 0.000560743, 1.93785e-06
102045, 4, 3, 1.288798, 1.290286, 1.289297,388.04, 0.000560743, 1.93955e-06
102045, 4, 3, 1.287813, 1.289568, 1.288396,388.04, 0.000560743, 1.80192e-06
102045, 4, 3, 1.287831, 1.289829, 1.288702,388.04, 0.000560743, 1.80269e-06
102045, 4, 3, 1.287815, 1.289270, 1.288396,388.04, 0.000560743, 1.8028e-06
102045, 4, 3, 1.288681, 1.289699, 1.289047,388.04, 0.000560743, 1.855e-06
102045, 4, 3, 1.288824, 1.289907, 1.289153,388.04, 0.000560743, 1.8538e-06
102045, 4, 3, 1.288773, 1.289931, 1.289444,388.04, 0.000560743, 1.9346e-06
102045, 4, 3, 1.288786, 1.290056, 1.289297,388.04, 0.000560743, 1.94076e-06
102045, 4, 3, 1.288674, 1.290059, 1.289203,388.04, 0.000560743, 1.92659e-06
102045, 4, 3, 1.288649, 1.290201, 1.289228,388.04, 0.000560743, 1.93236e-06
102045, 4, 3, 1.287815, 1.289250, 1.288598,388.04, 0.000560743, 1.80167e-06
102045, 4, 3, 1.287855, 1.289020, 1.288438,388.04, 0.000560743, 1.80407e-06
102045, 4, 3, 1.287878, 1.289193, 1.288569,388.04, 0.000560743, 1.80253e-06
10420, 4, 3, 0.141560, 0.143085, 0.142193,77.91, 0.000217376, 1.02336e-05
10420, 4, 3, 0.141644, 0.143301, 0.142488,77.91, 0.00158239, 1.47361e-05
10420, 4, 3, 0.141785, 0.142682, 0.142203,77.91, 0.00158131, 1.54024e-05
10420, 4, 3, 0.141790, 0.142676, 0.142195,77.91, 0.00158221, 1.4766e-05
10420, 4, 3, 0.141549, 0.142961, 0.142252,77.91, 0.0015831, 1.53991e-05
10420, 4, 3, 0.141627, 0.142948, 0.142330,77.91, 0.00158292, 1.47186e-05
10420, 4, 3, 0.141792, 0.142760, 0.142252,77.91, 0.00158334, 1.47737e-05
10420, 4, 3, 0.141635, 0.342987, 0.292460,77.91, 0.00158245, 1.47382e-05
10420, 4, 3, 0.141654, 0.142758, 0.142229,77.91, 0.0015828, 1.47486e-05
10420, 4, 3, 0.141642, 0.142518, 0.142091,77.91, 0.00158191, 1.47418e-05
10420, 4, 3, 0.141654, 0.142714, 0.142182,77.91, 0.0015828, 1.47444e-05
10420, 4, 3, 0.141568, 0.142881, 0.142290,77.91, 0.00158197, 1.47717e-05
10420, 4, 3, 0.141814, 0.142937, 0.142365,77.91, 0.0015831, 1.47708e-05
10420, 4, 3, 0.141645, 0.142412, 0.142073,77.91, 0.00158274, 1.47436e-05
10420, 4, 3, 0.141788, 0.142656, 0.142235,77.91, 0.0015828, 1.47684e-05
10420, 4, 3, 0.141630, 0.142744, 0.142189,77.91, 0.000217376, 1.02214e-05
10420, 4, 3, 0.141663, 0.143144, 0.142461,77.91, 0.00158251, 1.47402e-05
10420, 4, 3, 0.141642, 0.142451, 0.142094,77.91, 0.00158161, 1.50777e-05
10420, 4, 3, 0.141810, 0.142515, 0.142145,77.91, 0.00158167, 1.47671e-05
10420, 4, 3, 0.141658, 0.142660, 0.142204,77.91, 0.00158245, 1.47315e-05
10420, 4, 3, 0.141643, 0.143434, 0.142621,77.91, 0.000217376, 1.022e-05
10420, 4, 3, 0.141627, 0.143167, 0.142433,77.91, 0.00158292, 1.47394e-05
10420, 4, 3, 0.141756, 0.142627, 0.142190,77.91, 0.00158328, 1.5413e-05
10420, 4, 3, 0.141777, 0.142681, 0.142182,77.91, 0.00158346, 1.4769e-05
10420, 4, 3, 0.141620, 0.142602, 0.142145,77.91, 0.0015831, 1.474e-05
10420, 4, 3, 0.141621, 0.142535, 0.142126,77.91, 0.00158304, 1.47437e-05
10420, 4, 3, 0.141638, 0.142292, 0.142005,77.91, 0.00158245, 1.47342e-05
10420, 4, 3, 0.141635, 0.142636, 0.142154,77.91, 0.00158084, 1.47404e-05
10420, 4, 3, 0.141642, 0.142719, 0.142189,77.91, 0.000217376, 1.0226e-05
10420, 4, 3, 0.141766, 0.142810, 0.142270,77.91, 0.00158239, 1.54107e-05
1052, 4, 3, 0.015860, 0.018009, 0.016967,14.07, 0.00109793, 5.43903e-05
1052, 4, 3, 0.015846, 0.017202, 0.016516,14.07, 0.00109793, 5.51239e-05
1052, 4, 3, 0.015860, 0.016752, 0.016309,14.07, 0.00109793, 5.43904e-05
1052, 4, 3, 0.015866, 0.017137, 0.016551,14.07, 0.00109793, 5.51235e-05
