Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 4, 3, 1.320621, 1.323214, 1.321575,388.04, 0.000560743, 1.81085e-06
102045, 4, 3, 1.320656, 1.322230, 1.321560,388.04, 0.000560743, 1.81145e-06
102045, 4, 3, 1.320158, 1.321922, 1.321008,388.04, 0.000560743, 1.81205e-06
102045, 4, 3, 1.320673, 1.325785, 1.323709,388.04, 0.000560743, 1.81229e-06
102045, 4, 3, 1.321210, 1.322580, 1.321637,388.04, 0.000560743, 1.81107e-06
102045, 4, 3, 1.320532, 1.322030, 1.321355,388.04, 0.000560743, 1.81142e-06
102045, 4, 3, 1.320683, 1.322375, 1.321574,388.04, 0.000560743, 1.81235e-06
102045, 4, 3, 1.320685, 1.322424, 1.321646,388.04, 0.000560743, 1.81056e-06
102045, 4, 3, 1.321426, 1.322836, 1.321891,388.04, 0.000560743, 1.81196e-06
102045, 4, 3, 1.321330, 1.322752, 1.321857,388.04, 0.000560743, 1.81189e-06
102045, 4, 3, 1.320622, 1.322076, 1.321478,388.04, 0.000560743, 1.81224e-06
102045, 4, 3, 1.321387, 1.322792, 1.321837,388.04, 0.000560743, 1.81293e-06
102045, 4, 3, 1.320621, 1.322313, 1.321520,388.04, 0.000560743, 1.81228e-06
102045, 4, 3, 1.321211, 1.322880, 1.321705,388.04, 0.000560743, 1.813e-06
102045, 4, 3, 1.320610, 1.322188, 1.321540,388.04, 0.000560743, 1.81222e-06
102045, 4, 3, 1.320623, 1.322494, 1.321888,388.04, 0.000560743, 1.81222e-06
102045, 4, 3, 1.320636, 1.322701, 1.322001,388.04, 0.000560743, 1.81098e-06
102045, 4, 3, 1.321463, 1.323280, 1.322068,388.04, 0.000560743, 1.81179e-06
102045, 4, 3, 1.320557, 1.322099, 1.321351,388.04, 0.000560743, 1.81147e-06
102045, 4, 3, 1.320606, 1.322326, 1.321536,388.04, 0.000560743, 1.81115e-06
102045, 4, 3, 1.320708, 1.322686, 1.321691,388.04, 0.000560743, 1.81161e-06
102045, 4, 3, 1.320695, 1.523261, 1.421964,388.04, 0.000560743, 1.81116e-06
102045, 4, 3, 1.321347, 1.322796, 1.321888,388.04, 0.000560743, 1.81237e-06
102045, 4, 3, 1.320491, 1.321564, 1.321051,388.04, 0.000560743, 1.81192e-06
102045, 4, 3, 1.320708, 1.322302, 1.321828,388.04, 0.000560743, 1.81081e-06
102045, 4, 3, 1.320818, 1.322463, 1.321562,388.04, 0.000560743, 1.81255e-06
102045, 4, 3, 1.320879, 1.322625, 1.321644,388.04, 0.000560743, 1.81083e-06
102045, 4, 3, 1.320720, 1.322375, 1.321596,388.04, 0.000560743, 1.8113e-06
102045, 4, 3, 1.320546, 1.322164, 1.321457,388.04, 0.000560743, 1.81112e-06
102045, 4, 3, 1.321353, 1.322977, 1.321834,388.04, 0.000560743, 1.81234e-06
10420, 4, 3, 0.145902, 0.146822, 0.146371,78.85, 0.000217376, 1.01883e-05
10420, 4, 3, 0.145869, 0.147968, 0.146982,78.85, 0.000217376, 1.01892e-05
10420, 4, 3, 0.145856, 0.147223, 0.146506,78.85, 0.000217376, 1.01899e-05
10420, 4, 3, 0.145906, 0.147024, 0.146496,78.85, 0.000217376, 1.01869e-05
10420, 4, 3, 0.145891, 0.147361, 0.146646,78.85, 0.000217376, 1.01883e-05
