Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Min_Send_Bw, Max_Send_Bw(Secs), Average_Send_Bw(Secs), Min_Rec_Bw, Max_Rec_Bw(Secs), Average_Recv_Bw(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 4, 3, 2.460489, 2.461595, 2.461038,5845.619256, 6190.673206, 6017.941584,5902.570059, 6221.928507, 6072.106244,16993.69, 0.000662712, 1.77533e-06
102045, 4, 3, 2.460774, 2.461774, 2.461340,5834.999533, 6198.604344, 6015.966993,5892.138652, 6229.203335, 6069.924376,16993.69, 0.000662712, 1.77533e-06
102045, 4, 3, 2.460362, 2.470858, 2.465701,5730.944330, 6072.274631, 5962.017069,5785.812378, 6102.361925, 6015.532909,16993.69, 0.000662712, 1.77533e-06
102045, 4, 3, 2.460496, 2.461252, 2.461028,5835.449068, 6193.489291, 6013.097356,5891.456673, 6223.376885, 6067.355659,16993.69, 0.000662712, 1.77533e-06
102045, 4, 3, 2.459761, 2.460610, 2.460330,5844.239894, 6198.748213, 6019.485130,5899.978115, 6229.074348, 6072.466910,16993.69, 0.000662712, 1.77533e-06
102045, 4, 3, 2.460005, 2.461004, 2.460497,5833.573301, 6195.284308, 6011.026601,5887.813795, 6224.660323, 6062.491912,16993.69, 0.000662712, 1.77533e-06
102045, 4, 3, 2.460105, 2.461210, 2.460789,5835.543192, 6195.343865, 6015.329598,5891.629332, 6225.596277, 6069.617358,16993.69, 0.000662712, 1.77533e-06
102045, 4, 3, 2.459795, 2.460983, 2.460527,5842.869664, 6184.192100, 6009.447101,5902.465907, 6213.038028, 6063.513369,16993.69, 0.000662712, 1.77533e-06
102045, 4, 3, 2.460453, 2.461574, 2.461155,5846.339883, 6184.188839, 6011.652171,5902.279069, 6214.608257, 6064.770610,16993.69, 0.000662712, 1.77533e-06
102045, 4, 3, 2.460311, 2.461336, 2.460952,5825.940571, 6180.136466, 6006.708398,5881.040754, 6214.780701, 6060.166477,16993.69, 0.000662712, 1.77533e-06
102045, 4, 3, 2.459797, 2.460932, 2.460523,5838.033095, 6198.322045, 6017.461207,5894.136358, 6228.872197, 6070.699372,16993.69, 0.000662712, 1.77533e-06
102045, 4, 3, 2.460586, 2.461508, 2.461220,5828.283333, 6185.197403, 6009.510872,5883.775869, 6215.039760, 6062.241036,16993.69, 0.000662712, 1.77533e-06
102045, 4, 3, 2.460767, 2.461603, 2.461303,5828.680556, 6189.655739, 6011.241800,5884.595363, 6220.128881, 6064.496294,16993.69, 0.000662712, 1.77533e-06
102045, 4, 3, 2.460027, 2.460749, 2.460368,5842.604910, 6204.968048, 6020.847516,5898.535833, 6235.345533, 6074.210716,16993.69, 0.000662712, 1.77533e-06
102045, 4, 3, 2.459771, 2.461121, 2.460550,5853.474889, 6191.340969, 6018.300526,5909.948657, 6221.433973, 6071.538838,16993.69, 0.000662712, 1.77533e-06
102045, 4, 3, 2.460126, 2.461094, 2.460722,5834.702436, 6196.419429, 6017.220641,5890.733751, 6227.346742, 6070.654095,16993.69, 0.000662712, 1.77533e-06
102045, 4, 3, 2.460127, 2.461027, 2.460646,5839.932408, 6196.176385, 6018.326925,5895.591836, 6227.301957, 6071.793109,16993.69, 0.000662712, 1.77533e-06
