Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 4, 3, 1.317408, 1.322661, 1.319981,369.94, 0.00119345, 3.0463e-06
102045, 4, 3, 1.317334, 1.323163, 1.319193,369.94, 0.000560743, 1.80086e-06
102045, 4, 3, 1.311616, 1.322930, 1.315915,369.94, 0.00192407, 2.59864e-06
102045, 4, 3, 1.315323, 1.322565, 1.318329,369.94, 0.000916928, 2.20167e-06
102045, 4, 3, 1.315477, 1.322621, 1.318199,369.94, 0.000560743, 1.80086e-06
102045, 4, 3, 1.315410, 1.322598, 1.317485,369.94, 0.000560743, 1.80086e-06
102045, 4, 3, 1.316602, 1.322525, 1.318494,369.94, 0.000560743, 1.80086e-06
102045, 4, 3, 1.315684, 1.322817, 1.318177,369.94, 0.000560743, 1.83465e-06
102045, 4, 3, 1.315340, 1.322533, 1.317559,369.94, 0.000560743, 1.81579e-06
102045, 4, 3, 1.315357, 1.322617, 1.318093,369.94, 0.00174732, 2.88109e-06
102045, 4, 3, 1.316670, 1.322619, 1.318522,369.94, 0.00372976, 5.84506e-06
102045, 4, 3, 1.316521, 1.322520, 1.318152,369.94, 0.000560743, 1.80086e-06
102045, 4, 3, 1.316320, 1.322602, 1.318067,369.94, 0.00895228, 1.44507e-05
102045, 4, 3, 1.316587, 1.322616, 1.318638,369.94, 0.000560743, 1.80163e-06
102045, 4, 3, 1.316676, 1.322691, 1.318618,369.94, 0.000560743, 1.80086e-06
102045, 4, 3, 1.316676, 1.322599, 1.318756,369.94, 0.00117517, 2.40185e-06
102045, 4, 3, 1.315412, 1.322618, 1.318071,369.94, 0.0036704, 7.30999e-06
102045, 4, 3, 1.317458, 1.322608, 1.319011,369.94, 0.0015513, 2.58486e-06
102045, 4, 3, 1.315396, 1.322549, 1.317805,369.94, 0.00120652, 2.4905e-06
102045, 4, 3, 1.315451, 1.322572, 1.317879,369.94, 0.000560743, 1.80086e-06
102045, 4, 3, 1.315434, 1.322694, 1.317721,369.94, 0.000560743, 1.80086e-06
102045, 4, 3, 1.315395, 1.322634, 1.317938,369.94, 0.000560743, 1.80086e-06
102045, 4, 3, 1.315398, 1.322690, 1.318119,369.94, 0.000560743, 1.80086e-06
102045, 4, 3, 1.315478, 1.322676, 1.318025,369.94, 0.000560743, 1.80217e-06
102045, 4, 3, 1.315492, 1.322717, 1.317884,369.94, 0.000560743, 1.80086e-06
102045, 4, 3, 1.316709, 1.322733, 1.318724,369.94, 0.000560743, 1.80086e-06
102045, 4, 3, 1.315505, 1.322709, 1.317738,369.94, 0.000560743, 1.80086e-06
102045, 4, 3, 1.315493, 1.322701, 1.318167,369.94, 0.000560743, 1.80086e-06
102045, 4, 3, 1.315540, 1.322622, 1.318095,369.94, 0.000560743, 1.80089e-06
102045, 4, 3, 1.315648, 1.322743, 1.318323,369.94, 0.000560743, 1.80086e-06
