Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 4, 3, 1.437190, 1.444895, 1.441465,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.438154, 1.444748, 1.441106,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.436427, 1.445767, 1.440683,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.437494, 1.444107, 1.440552,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.436657, 1.444295, 1.440333,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.437470, 1.443971, 1.440562,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.437596, 1.444192, 1.440654,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.434486, 1.589431, 1.511993,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.438406, 1.444898, 1.441774,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.438096, 1.444634, 1.441485,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.437392, 1.443892, 1.440508,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.436663, 1.444348, 1.440333,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.436658, 1.444306, 1.440324,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.437424, 1.443949, 1.440564,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.436965, 1.444590, 1.440562,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.437678, 1.444288, 1.440778,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.438356, 1.445139, 1.441879,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.438350, 1.444820, 1.441607,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.438310, 1.444774, 1.441588,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.437609, 1.444064, 1.440700,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.437766, 1.444306, 1.440838,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.437042, 1.444715, 1.440596,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.437525, 1.444037, 1.440639,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.437624, 1.444164, 1.440723,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.437576, 1.444078, 1.440655,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.438292, 1.444789, 1.441641,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.438313, 1.444846, 1.441739,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.438394, 1.444905, 1.441775,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.437642, 1.444208, 1.440808,394.13, 0.000560743, 1.80086e-06
102045, 4, 3, 1.436844, 1.444507, 1.440519,394.13, 0.000560743, 1.80086e-06
10420, 4, 3, 0.238306, 0.238990, 0.238721,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.237262, 0.239285, 0.238364,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.239151, 0.239830, 0.239578,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.238190, 0.239309, 0.238663,76.88, 0.000217376, 1.01103e-05
