Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Min_Send_Bw, Max_Send_Bw(Secs), Average_Send_Bw(Secs), Min_Rec_Bw, Max_Rec_Bw(Secs), Average_Recv_Bw(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 1, 3, 5.070129, 5.070129, 5.070129,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.070503, 5.070503, 5.070503,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.069405, 5.069405, 5.069405,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.069692, 5.069692, 5.069692,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.068755, 5.068755, 5.068755,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.069360, 5.069360, 5.069360,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.068887, 5.068887, 5.068887,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.069832, 5.069832, 5.069832,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.069171, 5.069171, 5.069171,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.069455, 5.069455, 5.069455,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.069102, 5.069102, 5.069102,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.069126, 5.069126, 5.069126,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.069002, 5.069002, 5.069002,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.069145, 5.069145, 5.069145,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.069369, 5.069369, 5.069369,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.069720, 5.069720, 5.069720,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.068854, 5.068854, 5.068854,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.069194, 5.069194, 5.069194,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.068967, 5.068967, 5.068967,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.069506, 5.069506, 5.069506,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.068995, 5.068995, 5.068995,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.069644, 5.069644, 5.069644,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.068949, 5.068949, 5.068949,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.069476, 5.069476, 5.069476,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.069165, 5.069165, 5.069165,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.069441, 5.069441, 5.069441,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.068982, 5.068982, 5.068982,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.069640, 5.069640, 5.069640,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.069040, 5.069040, 5.069040,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 1, 3, 5.069207, 5.069207, 5.069207,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,0.00, 0.000560744, 1.80087e-06
102045, 2, 3, 2.803811, 2.812480, 2.808145,89.039462, 444.034384, 266.536923,85.743207, 375.949693, 230.846450,398.44, 0.000560744, 1.80087e-06
102045, 2, 3, 2.813138, 2.821210, 2.817174,37.036246, 455.233928, 246.135087,36.378042, 384.543129, 210.460585,398.44, 0.000560744, 1.80087e-06
102045, 2, 3, 2.811820, 2.816150, 2.813985,37.098984, 459.508795, 248.303889,36.444400, 387.931315, 212.187857,398.44, 0.000560744, 1.80087e-06
102045, 2, 3, 2.802514, 2.811418, 2.806966,69.754253, 459.813804, 264.784029,67.762903, 387.926879, 227.844891,398.44, 0.000560744, 1.80087e-06
102045, 2, 3, 2.802238, 2.811603, 2.806920,62.675663, 458.741361, 260.708512,61.052679, 387.104578, 224.078628,398.44, 0.000560744, 1.80087e-06
102045, 2, 3, 2.802191, 2.811438, 2.806815,69.062060, 459.543167, 264.302613,67.106483, 386.725818, 226.916151,398.44, 0.000560744, 1.80087e-06
