Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Min_Send_Bw, Max_Send_Bw(Secs), Average_Send_Bw(Secs), Min_Rec_Bw, Max_Rec_Bw(Secs), Average_Recv_Bw(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 4, 3, 7.159639, 7.161703, 7.160696,662.017545, 682.609960, 675.501231,592.551241, 601.581892, 597.841576,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.020901, 7.032305, 7.028785,684.189997, 704.296871, 696.594227,610.057957, 618.122316, 614.443551,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.201827, 7.203703, 7.202929,656.288015, 676.435295, 669.478009,587.957671, 597.277964, 593.007543,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.180001, 7.181873, 7.181220,658.609511, 679.659651, 672.559339,590.064169, 599.818587, 595.564356,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.092091, 7.093376, 7.092769,672.481636, 693.657779, 686.277634,601.195949, 610.483905, 606.547782,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.108900, 7.110724, 7.109895,670.234937, 691.271392, 683.854302,599.298516, 608.570446, 604.556633,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.069607, 7.071028, 7.070361,676.031586, 698.181625, 690.356323,604.040932, 613.770044, 609.478741,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.181569, 7.182914, 7.182326,658.283203, 679.922843, 672.327392,589.833107, 599.609068, 595.408562,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.333305, 7.334705, 7.334125,636.893015, 657.164292, 649.714141,572.515257, 581.405661, 577.561868,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.174872, 7.176498, 7.175380,659.847061, 681.041137, 673.491712,590.921467, 600.121190, 596.179858,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.081468, 7.082648, 7.082258,673.720154, 696.122821, 688.383118,602.291280, 612.170211, 607.905712,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.137158, 7.138394, 7.137935,666.112075, 687.837783, 679.673013,595.889160, 604.810154, 600.819667,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.255709, 7.306035, 7.268343,641.219125, 668.735550, 659.831405,575.985809, 590.953627, 585.407690,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.199529, 7.201436, 7.200343,656.009367, 676.637533, 669.531086,587.934256, 597.421423, 593.238639,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.176503, 7.177416, 7.176864,659.434057, 679.952868, 673.386499,590.714024, 600.506785, 596.153096,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.068050, 7.069452, 7.068604,676.811598, 698.772773, 690.724349,604.724506, 613.866065, 609.740450,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.071219, 7.072718, 7.071932,676.242892, 698.363923, 690.105090,604.262998, 613.326800, 609.300022,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.271679, 7.273734, 7.272549,646.329327, 665.318394, 658.540084,579.963012, 588.308986, 584.561748,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.146680, 7.147937, 7.147206,664.895042, 685.216729, 678.234474,594.904292, 603.545902, 599.803443,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.079275, 7.080531, 7.079690,674.196205, 695.655245, 688.337962,602.484137, 612.193287, 608.059886,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.194211, 7.194568, 7.194393,657.265356, 679.045316, 670.974902,588.877042, 598.305690, 594.131935,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.045928, 7.048736, 7.047322,679.512531, 700.655369, 693.894339,606.759208, 616.370064, 612.292756,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.270104, 7.274239, 7.272458,645.797188, 666.527856, 658.988487,579.487294, 588.862124, 584.610900,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.125518, 7.128529, 7.127205,667.102296, 688.356974, 681.262669,596.892021, 606.043856, 602.105290,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.113192, 7.114468, 7.113764,669.223135, 691.277654, 683.392680,598.686902, 608.345370, 603.992806,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.132318, 7.134576, 7.133528,666.577444, 686.869389, 679.693956,596.341236, 605.417158, 601.394905,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.105796, 7.106639, 7.106185,670.452425, 691.475113, 684.545864,599.709245, 609.088374, 604.937395,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.141916, 7.142888, 7.142366,665.241681, 685.905791, 678.879431,595.191410, 604.495358, 600.358498,17072.23, 0.000578011, 1.74051e-06
102045, 4, 3, 7.087110, 7.088755, 7.087663,673.101267, 694.714144, 686.960455,601.687533, 610.978340, 606.991374,17072.23, 0.000578011, 1.74051e-06
