Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Min_Send_Bw, Max_Send_Bw(Secs), Average_Send_Bw(Secs), Min_Rec_Bw, Max_Rec_Bw(Secs), Average_Recv_Bw(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 2, 3, 10.907664, 10.908026, 10.907845,727.113636, 729.204743, 728.159189,645.126291, 646.710105, 645.918198,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.895435, 10.916092, 10.905764,725.876055, 730.666992, 728.271524,644.234353, 648.024805, 646.129579,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.895270, 10.896139, 10.895705,728.661611, 730.608909, 729.635260,646.395864, 647.954760, 647.175312,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.892996, 10.893390, 10.893193,728.908844, 730.789282, 729.849063,646.635184, 648.133213, 647.384198,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.893827, 10.894235, 10.894031,728.830081, 730.785326, 729.807703,646.552775, 648.111125, 647.331950,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.894670, 10.895664, 10.895167,728.702268, 730.706328, 729.704298,646.427648, 648.075822, 647.251735,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.893496, 10.894845, 10.894171,728.789130, 730.873850, 729.831490,646.528287, 648.210703, 647.369495,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.892865, 10.894560, 10.893713,729.057294, 730.686625, 729.871960,646.765423, 648.019229, 647.392326,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.892715, 10.893806, 10.893261,729.003969, 730.681820, 729.842894,646.684573, 648.067495, 647.376034,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.889437, 10.890934, 10.890185,729.060681, 731.152593, 730.106637,646.761404, 648.446821, 647.604112,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.893237, 10.893867, 10.893552,728.903049, 730.746950, 729.825000,646.634169, 648.095899, 647.365034,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.892950, 10.893638, 10.893294,728.904480, 730.895781, 729.900131,646.580499, 648.190056, 647.385277,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.893830, 10.894123, 10.893977,728.810531, 730.902948, 729.856739,646.564349, 648.123386, 647.343867,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.894692, 10.895069, 10.894880,728.824949, 730.773586, 729.799267,646.524583, 648.085736, 647.305159,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.894450, 10.895807, 10.895128,728.875174, 730.656142, 729.765658,646.594425, 648.018315, 647.306370,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.893124, 10.893483, 10.893303,728.954643, 730.811106, 729.882875,646.677730, 648.168490, 647.423110,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.892741, 10.893509, 10.893125,729.072587, 730.774154, 729.923371,646.773837, 648.133297, 647.453567,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.893471, 10.894241, 10.893856,728.862725, 730.708616, 729.785671,646.591175, 648.056451, 647.323813,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.893131, 10.908814, 10.900972,726.748624, 730.849229, 728.798927,644.918094, 648.177059, 646.547577,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.893570, 10.894819, 10.894194,728.896761, 730.682224, 729.789493,646.604246, 647.980264, 647.292255,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.894021, 10.895266, 10.894644,728.818910, 730.686059, 729.752485,646.559133, 648.000692, 647.279913,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.893777, 10.894573, 10.894175,728.697930, 730.821960, 729.759945,646.477332, 648.180616, 647.328974,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.893234, 10.894331, 10.893782,728.797233, 730.891594, 729.844413,646.504878, 648.222425, 647.363651,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.893005, 10.893635, 10.893320,728.999682, 730.710122, 729.854902,646.711157, 648.098520, 647.404839,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.892646, 10.893395, 10.893021,729.016586, 730.799850, 729.908218,646.740072, 648.132515, 647.436293,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.893430, 10.894765, 10.894098,728.923937, 730.656337, 729.790137,646.634047, 648.021375, 647.327711,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.894120, 10.895047, 10.894583,728.755498, 730.751213, 729.753355,646.475109, 648.106537, 647.290823,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.893815, 10.894123, 10.893969,728.781448, 730.825272, 729.803360,646.544731, 648.110438, 647.327584,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.893442, 10.894766, 10.894104,728.827012, 730.685920, 729.756466,646.597273, 648.001501, 647.299387,22475.39, 0.000560743, 1.80086e-06
102045, 2, 3, 10.893295, 10.893828, 10.893562,728.798135, 730.888995, 729.843565,646.545890, 648.230301, 647.388095,22475.39, 0.000560743, 1.80086e-06
10420, 2, 3, 1.221802, 1.222407, 1.222104,653.461249, 655.957438, 654.709343,564.570849, 566.169578, 565.370213,2257.97, 0.000217376, 1.01103e-05
10420, 2, 3, 1.221466, 1.221941, 1.221704,655.640722, 655.961997, 655.801359,565.811117, 566.312666, 566.061891,2257.97, 0.000217376, 1.01103e-05
10420, 2, 3, 1.219461, 1.219585, 1.219523,656.797164, 657.906210, 657.351687,567.331517, 567.949008, 567.640262,2257.97, 0.000217376, 1.01103e-05
10420, 2, 3, 1.219367, 1.219527, 1.219447,656.598537, 658.168620, 657.383579,567.120604, 568.191413, 567.656009,2257.97, 0.000217376, 1.01103e-05
10420, 2, 3, 1.219227, 1.220036, 1.219632,656.807545, 657.494340, 657.150942,567.338280, 567.548905, 567.443593,2257.97, 0.000217376, 1.01103e-05
10420, 2, 3, 1.219136, 1.219372, 1.219254,656.907728, 658.308354, 657.608041,567.369057, 568.295173, 567.832115,2257.97, 0.000217376, 1.01103e-05
10420, 2, 3, 1.219235, 1.220099, 1.219667,656.951914, 657.372202, 657.162058,567.402251, 567.421766, 567.412009,2257.97, 0.000217376, 1.01103e-05
10420, 2, 3, 1.219472, 1.220268, 1.219870,655.797304, 658.211277, 657.004290,566.487036, 567.996911, 567.241974,2257.97, 0.000217376, 1.01103e-05
10420, 2, 3, 1.219197, 1.219920, 1.219559,657.046986, 657.490940, 657.268963,567.454314, 567.664028, 567.559171,2257.97, 0.000217376, 1.01103e-05
10420, 2, 3, 1.219115, 1.219583, 1.219349,656.587948, 658.364580, 657.476264,567.110588, 568.328717, 567.719652,2257.97, 0.000217376, 1.01103e-05
10420, 2, 3, 1.219039, 1.220063, 1.219551,657.222539, 657.305332, 657.263936,567.486352, 567.596119, 567.541236,2257.97, 0.000217376, 1.01103e-05
10420, 2, 3, 1.219338, 1.219477, 1.219408,656.827083, 658.249230, 657.538157,567.176485, 568.187966, 567.682225,2257.97, 0.000217376, 1.01103e-05
10420, 2, 3, 1.219081, 1.219688, 1.219385,657.221442, 657.717381, 657.469411,567.588158, 567.764050, 567.676104,2257.97, 0.000217376, 1.01103e-05
10420, 2, 3, 1.218652, 1.219063, 1.218858,657.521580, 658.209711, 657.865645,567.915880, 568.281167, 568.098523,2257.97, 0.000217376, 1.01103e-05
10420, 2, 3, 1.218935, 1.219324, 1.219130,657.162055, 658.174151, 657.668103,567.591991, 568.094918, 567.843454,2257.97, 0.000217376, 1.01103e-05
10420, 2, 3, 1.218848, 1.219230, 1.219039,657.320211, 658.137098, 657.728655,567.713303, 568.105119, 567.909211,2257.97, 0.000217376, 1.01103e-05
