Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 2, 3, 2.913762, 2.923660, 2.918711,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.909412, 2.930176, 2.919794,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.910770, 2.921535, 2.916152,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.911587, 2.922435, 2.917011,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.912719, 2.922564, 2.917642,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.912768, 2.922598, 2.917683,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.911398, 2.922552, 2.916975,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.907906, 3.112290, 3.010098,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.910760, 2.922293, 2.916526,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.911410, 2.922376, 2.916893,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.911696, 2.922468, 2.917082,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.912382, 2.922233, 2.917307,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.912388, 2.922274, 2.917331,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.911535, 2.922276, 2.916906,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.911370, 2.922290, 2.916830,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.911393, 2.922429, 2.916911,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.912103, 2.921982, 2.917042,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.911022, 2.921862, 2.916442,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.911400, 2.922174, 2.916787,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.912267, 2.922167, 2.917217,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.911653, 2.922489, 2.917071,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.911854, 2.922719, 2.917287,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.911606, 2.922317, 2.916962,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.911123, 2.922363, 2.916743,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.911532, 2.922306, 2.916919,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.910651, 2.922289, 2.916470,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.912378, 2.922278, 2.917328,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.911268, 2.922318, 2.916793,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.911566, 2.922473, 2.917020,388.83, 0.000560743, 1.80086e-06
102045, 2, 3, 2.911555, 2.922353, 2.916954,388.83, 0.000560743, 1.80086e-06
10420, 2, 3, 0.422862, 0.422981, 0.422922,80.39, 0.000217376, 1.01103e-05
10420, 2, 3, 0.422316, 0.422689, 0.422503,80.39, 0.000217376, 1.01103e-05
10420, 2, 3, 0.422801, 0.423915, 0.423358,80.39, 0.000217376, 1.01103e-05
10420, 2, 3, 0.422324, 0.422660, 0.422492,80.39, 0.000217376, 1.01103e-05
10420, 2, 3, 0.422325, 0.422667, 0.422496,80.39, 0.000217376, 1.01103e-05
10420, 2, 3, 0.420909, 0.422272, 0.421591,80.39, 0.000217376, 1.01103e-05
10420, 2, 3, 0.422400, 0.422607, 0.422503,80.39, 0.000217376, 1.01103e-05
