Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 4, 3, 1.572093, 1.576153, 1.573854,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.570337, 1.580092, 1.575606,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.575861, 1.580794, 1.578600,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.570420, 1.574564, 1.571871,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.570820, 1.575334, 1.572396,379.93, 0.000560744, 1.80118e-06
102045, 4, 3, 1.570993, 1.575274, 1.572647,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.571282, 1.575268, 1.572542,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.571620, 1.575492, 1.572942,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.572080, 1.576244, 1.573361,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.572276, 1.576077, 1.573723,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.570152, 1.574697, 1.571718,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.571715, 1.575733, 1.572980,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.569709, 1.573849, 1.571936,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.570008, 1.573961, 1.571850,379.93, 0.000560744, 1.89498e-06
102045, 4, 3, 1.571483, 1.575723, 1.572921,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.572113, 1.575952, 1.573248,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.571481, 1.599733, 1.586476,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.571339, 1.574136, 1.572752,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.570462, 1.573962, 1.572208,379.93, 0.000560744, 1.80134e-06
102045, 4, 3, 1.570861, 1.574363, 1.572393,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.570929, 1.574468, 1.572643,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.570839, 1.574545, 1.572679,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.570301, 1.574283, 1.572217,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.573947, 1.575813, 1.574682,379.93, 0.00137525, 3.37274e-06
102045, 4, 3, 1.571437, 1.575595, 1.573022,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.570248, 1.574278, 1.572313,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.570518, 1.574383, 1.572568,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.571653, 1.575923, 1.573143,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.572202, 1.575848, 1.573454,379.93, 0.000560744, 1.80087e-06
102045, 4, 3, 1.571801, 1.575312, 1.573064,379.93, 0.000560744, 1.80087e-06
10420, 4, 3, 0.289332, 0.290653, 0.290166,75.94, 0.000217376, 1.01102e-05
10420, 4, 3, 0.285308, 0.286206, 0.285737,75.94, 0.000217376, 1.01102e-05
10420, 4, 3, 0.283515, 0.287515, 0.284861,75.94, 0.000217376, 1.01102e-05
10420, 4, 3, 0.284984, 0.286220, 0.285699,75.94, 0.000217376, 1.01102e-05
10420, 4, 3, 0.283643, 0.284376, 0.284120,75.94, 0.000217376, 1.01102e-05
10420, 4, 3, 0.285191, 0.286355, 0.285867,75.94, 0.000217376, 1.01102e-05
10420, 4, 3, 0.283676, 0.284868, 0.284141,75.94, 0.000217376, 1.01102e-05
10420, 4, 3, 0.284855, 0.286071, 0.285563,75.94, 0.000217376, 1.01102e-05
10420, 4, 3, 0.283827, 0.284711, 0.284225,75.94, 0.000217376, 1.01102e-05
10420, 4, 3, 0.284953, 0.286345, 0.285755,75.94, 0.000217376, 1.01102e-05
10420, 4, 3, 0.283866, 0.284998, 0.284338,75.94, 0.000217376, 1.01102e-05
