Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Min_Send_Bw, Max_Send_Bw(Secs), Average_Send_Bw(Secs), Min_Rec_Bw, Max_Rec_Bw(Secs), Average_Recv_Bw(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 2, 3, 2.233927, 2.234308, 2.234118,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,371.96, 0.000560743, 2.27012e-06
102045, 2, 3, 2.233272, 2.234957, 2.234114,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,371.96, 0.000560744, 1.93416e-06
102045, 2, 3, 2.233958, 2.234981, 2.234470,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,371.96, 0.000560744, 2.26889e-06
102045, 2, 3, 2.233932, 2.234230, 2.234081,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,371.96, 0.000560744, 2.27175e-06
102045, 2, 3, 2.233834, 2.234152, 2.233993,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,371.96, 0.000560744, 2.27153e-06
102045, 2, 3, 2.233131, 2.233939, 2.233535,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,371.96, 0.000560744, 1.8888e-06
102045, 2, 3, 2.233838, 2.234166, 2.234002,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,371.96, 0.000560744, 2.26614e-06
102045, 2, 3, 2.233915, 2.234198, 2.234057,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,371.96, 0.000560744, 2.26777e-06
102045, 2, 3, 2.233234, 2.234014, 2.233624,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,371.96, 0.000560744, 1.91198e-06
102045, 2, 3, 2.233908, 2.234198, 2.234053,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,371.96, 0.000560744, 2.26903e-06
102045, 2, 3, 2.233148, 2.233962, 2.233555,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,371.96, 0.000560744, 1.95065e-06
102045, 2, 3, 2.233937, 2.234277, 2.234107,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,371.96, 0.000560743, 2.26707e-06
102045, 2, 3, 2.233184, 2.234070, 2.233627,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,371.96, 0.000560744, 1.9023e-06
102045, 2, 3, 2.233263, 2.234038, 2.233650,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,371.96, 0.000560744, 1.93022e-06
102045, 2, 3, 2.233260, 2.234111, 2.233685,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,371.96, 0.000560744, 1.93465e-06
102045, 2, 3, 2.233192, 2.233946, 2.233569,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,371.96, 0.000560744, 1.91788e-06
102045, 2, 3, 2.233068, 2.233965, 2.233517,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,371.96, 0.000560744, 1.8831e-06
