Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Min_Send_Bw, Max_Send_Bw(Secs), Average_Send_Bw(Secs), Min_Rec_Bw, Max_Rec_Bw(Secs), Average_Recv_Bw(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 2, 3, 2.638193, 2.638203, 2.638198,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.638200, 2.638267, 2.638233,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.637232, 2.638301, 2.637767,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.637268, 2.638404, 2.637836,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.637246, 2.638359, 2.637802,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.638203, 2.638296, 2.638249,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.637244, 2.638359, 2.637802,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.638199, 2.638304, 2.638251,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.638192, 2.638411, 2.638301,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.638221, 2.638316, 2.638268,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.638152, 2.638187, 2.638170,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.638156, 2.638259, 2.638207,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.638232, 2.638457, 2.638345,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.638179, 2.638297, 2.638238,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.638205, 2.638242, 2.638224,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.638229, 2.638344, 2.638287,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.638182, 2.638285, 2.638234,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.638164, 2.638346, 2.638255,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.638195, 2.638288, 2.638242,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.638165, 2.638263, 2.638214,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.637322, 2.638381, 2.637851,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.638211, 2.638284, 2.638247,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.637274, 2.638383, 2.637829,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.638204, 2.638291, 2.638248,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.637262, 2.638405, 2.637834,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.637276, 2.638372, 2.637824,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
