Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Min_Send_Bw, Max_Send_Bw(Secs), Average_Send_Bw(Secs), Min_Rec_Bw, Max_Rec_Bw(Secs), Average_Recv_Bw(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 2, 3, 2.505889, 2.506893, 2.506391,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.505954, 2.506990, 2.506472,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.506614, 2.506826, 2.506720,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.506539, 2.506710, 2.506624,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.506593, 2.506799, 2.506696,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.506597, 2.506835, 2.506716,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.506607, 2.506840, 2.506724,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.505888, 2.506982, 2.506435,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.506650, 2.506902, 2.506776,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.506606, 2.506754, 2.506680,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.505940, 2.507046, 2.506493,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.506636, 2.506862, 2.506749,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.505843, 2.506846, 2.506344,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.506594, 2.506826, 2.506710,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.506668, 2.506886, 2.506777,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.506632, 2.506792, 2.506712,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 1.80086e-06
