Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Min_Send_Bw, Max_Send_Bw(Secs), Average_Send_Bw(Secs), Min_Rec_Bw, Max_Rec_Bw(Secs), Average_Recv_Bw(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 2, 3, 2.414773, 2.415721, 2.415247,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.89171e-06
102045, 2, 3, 2.414829, 2.415973, 2.415401,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.89274e-06
102045, 2, 3, 2.415645, 2.415820, 2.415733,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.94247e-06
102045, 2, 3, 2.415544, 2.415690, 2.415617,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.9438e-06
102045, 2, 3, 2.415616, 2.416545, 2.416081,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.94188e-06
102045, 2, 3, 2.415606, 2.415754, 2.415680,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.94146e-06
102045, 2, 3, 2.415507, 2.415618, 2.415562,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.94438e-06
102045, 2, 3, 2.415567, 2.415760, 2.415663,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.94139e-06
102045, 2, 3, 2.414830, 2.415834, 2.415332,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.89359e-06
102045, 2, 3, 2.414836, 2.415832, 2.415334,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.89323e-06
102045, 2, 3, 2.414730, 2.415798, 2.415264,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.896e-06
102045, 2, 3, 2.414809, 2.415917, 2.415363,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.89289e-06
102045, 2, 3, 2.414806, 2.415790, 2.415298,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.89471e-06
102045, 2, 3, 2.415699, 2.415836, 2.415767,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.93961e-06
102045, 2, 3, 2.415644, 2.415810, 2.415727,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.94134e-06
102045, 2, 3, 2.414797, 2.415852, 2.415325,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.89258e-06
102045, 2, 3, 2.414775, 2.415788, 2.415282,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.89427e-06
102045, 2, 3, 2.414802, 2.415792, 2.415297,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.89518e-06
102045, 2, 3, 2.414756, 2.415796, 2.415276,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.8922e-06
102045, 2, 3, 2.415643, 2.415819, 2.415731,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.94617e-06
102045, 2, 3, 2.415661, 2.415814, 2.415738,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.94388e-06
102045, 2, 3, 2.414761, 2.415724, 2.415242,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,99000000000000003322788222869388050464287720924225301737001297968629172971117941267067209544670117888.000000, inf, inf,388.13, 0.000560743, 2.89414e-06
