Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 2, 3, 2.282377, 2.283305, 2.282841,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282333, 2.283282, 2.282807,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282344, 2.284156, 2.283250,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282336, 2.283410, 2.282873,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.283117, 2.283300, 2.283209,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282384, 2.283502, 2.282943,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.283017, 2.283188, 2.283103,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282406, 2.283359, 2.282882,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282377, 2.283500, 2.282939,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.283079, 2.283365, 2.283222,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282359, 2.283415, 2.282887,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282403, 2.283425, 2.282914,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282998, 2.283292, 2.283145,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282306, 2.283252, 2.282779,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282279, 2.283254, 2.282766,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282378, 2.283303, 2.282841,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282293, 2.283240, 2.282766,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282423, 2.283358, 2.282891,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282363, 2.283297, 2.282830,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282346, 2.283246, 2.282796,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282408, 2.283397, 2.282903,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.283000, 2.283186, 2.283093,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282987, 2.283211, 2.283099,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.283009, 2.283226, 2.283118,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282310, 2.283963, 2.283137,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282975, 2.283078, 2.283027,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282465, 2.283438, 2.282951,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.283002, 2.283160, 2.283081,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282400, 2.283377, 2.282888,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.282404, 2.283425, 2.282915,371.96, 0.000560744, 1.80087e-06
