Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 2, 3, 2.270425, 2.271477, 2.270951,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.271148, 2.271999, 2.271573,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.270397, 2.271400, 2.270898,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.271246, 2.271455, 2.271351,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.271190, 2.272002, 2.271596,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.271174, 2.473349, 2.372262,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.271174, 2.271336, 2.271255,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.271153, 2.271267, 2.271210,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.271186, 2.473128, 2.372157,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.271218, 2.271452, 2.271335,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.271216, 2.271398, 2.271307,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.270394, 2.271366, 2.270880,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.270429, 2.271569, 2.270999,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.271201, 2.271397, 2.271299,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.271207, 2.271325, 2.271266,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.271189, 2.271298, 2.271244,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.270427, 2.271581, 2.271004,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.270382, 2.271443, 2.270913,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.270331, 2.271380, 2.270855,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.270408, 2.271467, 2.270937,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.271196, 2.271270, 2.271233,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.271152, 2.471869, 2.371510,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.270428, 2.271435, 2.270931,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.271254, 2.271477, 2.271366,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.271107, 2.272034, 2.271571,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.270403, 2.271502, 2.270953,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.271166, 2.271456, 2.271311,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.270432, 2.271593, 2.271012,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.270347, 2.271406, 2.270877,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.271176, 2.271224, 2.271200,388.13, 0.000560743, 1.80086e-06
10420, 2, 3, 0.329500, 0.330240, 0.329870,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329500, 0.330067, 0.329784,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329498, 0.329971, 0.329735,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329501, 0.330069, 0.329785,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329498, 0.330071, 0.329784,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329507, 0.330093, 0.329800,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329501, 0.330075, 0.329788,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329502, 0.330223, 0.329862,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329489, 0.330043, 0.329766,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329527, 0.330067, 0.329797,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329495, 0.330182, 0.329838,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329494, 0.329993, 0.329744,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329498, 0.329997, 0.329748,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329503, 0.330024, 0.329763,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329498, 0.330258, 0.329878,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329492, 0.330048, 0.329770,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329497, 0.330074, 0.329786,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329494, 0.329976, 0.329735,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329495, 0.330041, 0.329768,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329510, 0.330205, 0.329857,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329506, 0.330028, 0.329767,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329514, 0.330120, 0.329817,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329488, 0.330063, 0.329775,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329493, 0.330219, 0.329856,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329492, 0.330066, 0.329779,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329526, 0.330070, 0.329798,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329506, 0.330107, 0.329807,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329496, 0.330143, 0.329820,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329508, 0.330055, 0.329782,85.32, 0.000217376, 1.01103e-05
10420, 2, 3, 0.329503, 0.330170, 0.329837,85.32, 0.000217376, 1.01103e-05
1052, 2, 3, 0.122169, 0.122671, 0.122420,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122140, 0.122673, 0.122406,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122151, 0.122753, 0.122452,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122177, 0.122672, 0.122425,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122167, 0.122632, 0.122399,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122150, 0.122814, 0.122482,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122153, 0.122719, 0.122436,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122165, 0.122707, 0.122436,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122152, 0.123007, 0.122579,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122163, 0.122729, 0.122446,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122153, 0.122679, 0.122416,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122139, 0.122682, 0.122410,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122160, 0.122815, 0.122487,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122155, 0.122894, 0.122525,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122166, 0.122654, 0.122410,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122139, 0.122717, 0.122428,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122154, 0.122712, 0.122433,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122148, 0.122679, 0.122413,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122149, 0.122895, 0.122522,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122165, 0.122784, 0.122475,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122142, 0.122779, 0.122460,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122156, 0.122809, 0.122482,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122172, 0.122815, 0.122493,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122148, 0.122799, 0.122473,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122154, 0.122738, 0.122446,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122146, 0.122773, 0.122459,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122162, 0.122724, 0.122443,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122153, 0.122721, 0.122437,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122168, 0.122710, 0.122439,15.00, 0.00109793, 5.43691e-05
1052, 2, 3, 0.122148, 0.122671, 0.122410,15.00, 0.00109793, 5.43691e-05
203163, 2, 3, 4.481742, 4.485440, 4.483591,648.29, 0.0206253, 2.75436e-05
203163, 2, 3, 4.481763, 4.482644, 4.482204,648.29, 0.0206253, 2.75438e-05
203163, 2, 3, 4.481742, 4.483512, 4.482627,648.29, 0.0206253, 2.75437e-05
203163, 2, 3, 4.481779, 4.483804, 4.482792,648.29, 0.0206253, 2.75437e-05
203163, 2, 3, 4.481699, 4.484033, 4.482866,648.29, 0.0206253, 2.75437e-05
203163, 2, 3, 4.481770, 4.483659, 4.482714,648.29, 0.0206253, 2.75436e-05
203163, 2, 3, 4.481762, 4.484244, 4.483003,648.29, 0.0206253, 2.75436e-05
203163, 2, 3, 4.481826, 4.483396, 4.482611,648.29, 0.0206253, 2.75438e-05
203163, 2, 3, 4.481668, 4.484162, 4.482915,648.29, 0.0206253, 2.75437e-05
203163, 2, 3, 4.481699, 4.484423, 4.483061,648.29, 0.0206253, 2.75437e-05
203163, 2, 3, 4.481781, 4.484029, 4.482905,648.29, 0.0206253, 2.75437e-05
203163, 2, 3, 4.480723, 4.481731, 4.481227,648.29, 0.0206253, 2.75438e-05
203163, 2, 3, 4.481756, 4.484423, 4.483090,648.29, 0.0206253, 2.75438e-05
203163, 2, 3, 4.481783, 4.483452, 4.482617,648.29, 0.0206253, 2.75437e-05
203163, 2, 3, 4.481745, 4.484367, 4.483056,648.29, 0.0206253, 2.75437e-05
203163, 2, 3, 4.481809, 4.484436, 4.483122,648.29, 0.0206253, 2.75438e-05
203163, 2, 3, 4.481722, 4.685502, 4.583612,648.29, 0.0206253, 2.75436e-05
203163, 2, 3, 4.481715, 4.485033, 4.483374,648.29, 0.0206253, 2.75438e-05
203163, 2, 3, 4.481711, 4.484833, 4.483272,648.29, 0.0206253, 2.75438e-05
203163, 2, 3, 4.481746, 4.484211, 4.482978,648.29, 0.0206253, 2.75438e-05
203163, 2, 3, 4.481751, 4.484777, 4.483264,648.29, 0.0206253, 2.75438e-05
203163, 2, 3, 4.481734, 4.485050, 4.483392,648.29, 0.0206253, 2.75436e-05
203163, 2, 3, 4.481728, 4.484639, 4.483183,648.29, 0.0206253, 2.75437e-05
203163, 2, 3, 4.481762, 4.484790, 4.483276,648.29, 0.0206253, 2.75437e-05
203163, 2, 3, 4.481763, 4.483861, 4.482812,648.29, 0.0206253, 2.75438e-05
203163, 2, 3, 4.481792, 4.484824, 4.483308,648.29, 0.0206253, 2.75436e-05
203163, 2, 3, 4.481773, 4.484540, 4.483157,648.29, 0.0206253, 2.75437e-05
203163, 2, 3, 4.481718, 4.484064, 4.482891,648.29, 0.0206253, 2.75436e-05
203163, 2, 3, 4.481723, 4.483539, 4.482631,648.29, 0.0206253, 2.75436e-05
203163, 2, 3, 4.481731, 4.484176, 4.482954,648.29, 0.0206253, 2.75437e-05
19982, 2, 3, 0.543359, 0.543817, 0.543588,132.89, 0.000149039, 6.14173e-06
19982, 2, 3, 0.543047, 0.543778, 0.543412,132.89, 0.000149039, 6.14173e-06
19982, 2, 3, 0.543046, 0.543841, 0.543443,132.89, 0.000149039, 6.14173e-06
19982, 2, 3, 0.543348, 0.548301, 0.545825,132.89, 0.000149039, 6.14173e-06
19982, 2, 3, 0.543054, 0.546567, 0.544810,132.89, 0.000149039, 6.14173e-06
19982, 2, 3, 0.543038, 0.543798, 0.543418,132.89, 0.000149039, 6.14173e-06
19982, 2, 3, 0.543041, 0.543831, 0.543436,132.89, 0.000149039, 6.14173e-06
19982, 2, 3, 0.543333, 0.543761, 0.543547,132.89, 0.000149039, 6.14173e-06
19982, 2, 3, 0.543352, 0.543679, 0.543516,132.89, 0.000149039, 6.14173e-06
19982, 2, 3, 0.543359, 0.543738, 0.543549,132.89, 0.000149039, 6.14173e-06
19982, 2, 3, 0.543345, 0.543783, 0.543564,132.89, 0.000149039, 6.14173e-06
19982, 2, 3, 0.543364, 0.543921, 0.543643,132.89, 0.000149039, 6.14173e-06
19982, 2, 3, 0.543358, 0.543713, 0.543535,132.89, 0.000149039, 6.14173e-06
19982, 2, 3, 0.543373, 0.543907, 0.543640,132.89, 0.000149039, 6.14173e-06
19982, 2, 3, 0.543049, 0.543787, 0.543418,132.89, 0.000149039, 6.14173e-06
19982, 2, 3, 0.543345, 0.543703, 0.543524,132.89, 0.000149039, 6.14173e-06
19982, 2, 3, 0.543364, 0.543684, 0.543524,132.89, 0.000149039, 6.14173e-06
19982, 2, 3, 0.543350, 0.543740, 0.543545,132.89, 0.000149039, 6.14173e-06
