Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 2, 3, 2.170878, 2.171914, 2.171396,388.13, 0.000560743, 3.24108e-06
102045, 2, 3, 2.170942, 2.171974, 2.171458,388.13, 0.000560743, 3.24274e-06
102045, 2, 3, 2.170944, 2.174817, 2.172880,388.13, 0.000560743, 3.24138e-06
102045, 2, 3, 2.170963, 2.171967, 2.171465,388.13, 0.000560743, 3.24163e-06
102045, 2, 3, 2.171756, 2.172728, 2.172242,388.13, 0.000560743, 3.29785e-06
102045, 2, 3, 2.171739, 2.171856, 2.171798,388.13, 0.000560743, 3.29814e-06
102045, 2, 3, 2.171726, 2.171916, 2.171821,388.13, 0.000560743, 3.2982e-06
102045, 2, 3, 2.171744, 2.171913, 2.171829,388.13, 0.000560743, 3.29938e-06
102045, 2, 3, 2.171712, 2.171894, 2.171803,388.13, 0.000560743, 3.29746e-06
102045, 2, 3, 2.170976, 2.172017, 2.171497,388.13, 0.000560743, 3.24139e-06
102045, 2, 3, 2.171749, 2.172008, 2.171878,388.13, 0.000560743, 3.29758e-06
102045, 2, 3, 2.170969, 2.172010, 2.171489,388.13, 0.000560743, 3.24172e-06
102045, 2, 3, 2.170936, 2.171980, 2.171458,388.13, 0.000560743, 3.24263e-06
102045, 2, 3, 2.170953, 2.171966, 2.171459,388.13, 0.000560743, 3.24266e-06
102045, 2, 3, 2.171780, 2.171993, 2.171886,388.13, 0.000560743, 3.29886e-06
102045, 2, 3, 2.171747, 2.171916, 2.171831,388.13, 0.000560743, 3.29828e-06
102045, 2, 3, 2.170975, 2.173080, 2.172028,388.13, 0.000560743, 3.24344e-06
102045, 2, 3, 2.171723, 2.171899, 2.171811,388.13, 0.000560743, 3.29879e-06
102045, 2, 3, 2.171758, 2.171988, 2.171873,388.13, 0.000560743, 3.30025e-06
102045, 2, 3, 2.171752, 2.171987, 2.171870,388.13, 0.000560743, 3.29745e-06
102045, 2, 3, 2.170959, 2.172258, 2.171609,388.13, 0.000560743, 3.2423e-06
102045, 2, 3, 2.171740, 2.171889, 2.171815,388.13, 0.000560743, 3.29876e-06
102045, 2, 3, 2.170913, 2.171944, 2.171429,388.13, 0.000560743, 3.24357e-06
102045, 2, 3, 2.170962, 2.171966, 2.171464,388.13, 0.000560743, 3.24209e-06
102045, 2, 3, 2.171761, 2.172068, 2.171915,388.13, 0.000560743, 3.29876e-06
102045, 2, 3, 2.171783, 2.172014, 2.171898,388.13, 0.000560743, 3.29865e-06
102045, 2, 3, 2.171726, 2.172732, 2.172229,388.13, 0.000560743, 3.29781e-06
102045, 2, 3, 2.171733, 2.171981, 2.171857,388.13, 0.000560743, 3.29804e-06
102045, 2, 3, 2.170962, 2.171916, 2.171439,388.13, 0.000560743, 3.24303e-06
102045, 2, 3, 2.171735, 2.171861, 2.171798,388.13, 0.000560743, 3.29649e-06
10420, 2, 3, 0.231061, 0.231603, 0.231332,76.18, 0.000217376, 1.03191e-05
10420, 2, 3, 0.231041, 0.231592, 0.231317,76.18, 0.000217376, 1.0313e-05
10420, 2, 3, 0.231065, 0.231624, 0.231344,76.18, 0.000217376, 1.03166e-05
10420, 2, 3, 0.230974, 0.231631, 0.231302,76.18, 0.000217376, 1.0272e-05
10420, 2, 3, 0.231071, 0.231687, 0.231379,76.18, 0.000217376, 1.03162e-05
10420, 2, 3, 0.230988, 0.231640, 0.231314,76.18, 0.000217376, 1.02741e-05
10420, 2, 3, 0.231076, 0.231580, 0.231328,76.18, 0.000217376, 1.03222e-05
10420, 2, 3, 0.231061, 0.231591, 0.231326,76.18, 0.000217376, 1.0321e-05
10420, 2, 3, 0.230991, 0.231657, 0.231324,76.18, 0.000217376, 1.02733e-05
10420, 2, 3, 0.231087, 0.231573, 0.231330,76.18, 0.000217376, 1.03213e-05
10420, 2, 3, 0.230982, 0.231628, 0.231305,76.18, 0.000217376, 1.02754e-05
10420, 2, 3, 0.231096, 0.231614, 0.231355,76.18, 0.000217376, 1.03227e-05
10420, 2, 3, 0.231089, 0.231701, 0.231395,76.18, 0.000217376, 1.03219e-05
10420, 2, 3, 0.231101, 0.231669, 0.231385,76.18, 0.000217376, 1.03268e-05
10420, 2, 3, 0.231077, 0.231593, 0.231335,76.18, 0.000217376, 1.03216e-05
10420, 2, 3, 0.231091, 0.231671, 0.231381,76.18, 0.000217376, 1.03233e-05
10420, 2, 3, 0.231078, 0.231650, 0.231364,76.18, 0.000217376, 1.03234e-05
10420, 2, 3, 0.231068, 0.231643, 0.231356,76.18, 0.000217376, 1.03234e-05
10420, 2, 3, 0.231083, 0.231671, 0.231377,76.18, 0.000217376, 1.0321e-05
10420, 2, 3, 0.231070, 0.231611, 0.231341,76.18, 0.000217376, 1.03253e-05
10420, 2, 3, 0.231046, 0.231578, 0.231312,76.18, 0.000217376, 1.03185e-05
10420, 2, 3, 0.231075, 0.231745, 0.231410,76.18, 0.000217376, 1.03212e-05
10420, 2, 3, 0.230979, 0.231637, 0.231308,76.18, 0.000217376, 1.02726e-05
10420, 2, 3, 0.231068, 0.231597, 0.231332,76.18, 0.000217376, 1.0318e-05
10420, 2, 3, 0.230943, 0.231565, 0.231254,76.18, 0.000217376, 1.02738e-05
10420, 2, 3, 0.230978, 0.231680, 0.231329,76.18, 0.000217376, 1.02789e-05
10420, 2, 3, 0.231048, 0.231587, 0.231318,76.18, 0.000217376, 1.03172e-05
10420, 2, 3, 0.231068, 0.231630, 0.231349,76.18, 0.000217376, 1.03144e-05
10420, 2, 3, 0.230972, 0.231642, 0.231307,76.18, 0.000217376, 1.02681e-05
