Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 2, 3, 2.168379, 2.168726, 2.168553,388.13, 0.000560743, 1.84024e-06
102045, 2, 3, 2.168341, 2.169498, 2.168920,388.13, 0.000560743, 1.83736e-06
102045, 2, 3, 2.168317, 2.168661, 2.168489,388.13, 0.000560743, 1.83781e-06
102045, 2, 3, 2.167762, 2.168636, 2.168199,388.13, 0.000560743, 1.83967e-06
102045, 2, 3, 2.168355, 2.169462, 2.168909,388.13, 0.000560743, 1.84116e-06
102045, 2, 3, 2.167793, 2.168689, 2.168241,388.13, 0.000560743, 1.83911e-06
102045, 2, 3, 2.168286, 2.168592, 2.168439,388.13, 0.000560743, 1.83705e-06
102045, 2, 3, 2.168287, 2.168584, 2.168436,388.13, 0.000560743, 1.83818e-06
102045, 2, 3, 2.168380, 2.169520, 2.168950,388.13, 0.000560743, 1.83834e-06
102045, 2, 3, 2.167705, 2.168549, 2.168127,388.13, 0.000560743, 1.83769e-06
102045, 2, 3, 2.168493, 2.169020, 2.168756,388.13, 0.000560743, 1.84076e-06
102045, 2, 3, 2.167688, 2.168587, 2.168137,388.13, 0.000560743, 1.83852e-06
102045, 2, 3, 2.167812, 2.168710, 2.168261,388.13, 0.000560743, 1.83972e-06
102045, 2, 3, 2.168205, 2.168580, 2.168392,388.13, 0.000560743, 1.83743e-06
102045, 2, 3, 2.168347, 2.168699, 2.168523,388.13, 0.000560743, 1.83804e-06
102045, 2, 3, 2.167700, 2.168571, 2.168136,388.13, 0.000560743, 1.83787e-06
102045, 2, 3, 2.167782, 2.168618, 2.168200,388.13, 0.000560743, 1.83892e-06
102045, 2, 3, 2.167657, 2.168616, 2.168136,388.13, 0.000560743, 1.83826e-06
102045, 2, 3, 2.168422, 2.168720, 2.168571,388.13, 0.000560743, 1.83864e-06
102045, 2, 3, 2.168374, 2.168629, 2.168501,388.13, 0.000560743, 1.83827e-06
102045, 2, 3, 2.168393, 2.168598, 2.168496,388.13, 0.000560743, 1.838e-06
102045, 2, 3, 2.168408, 2.170310, 2.169359,388.13, 0.000560743, 1.83817e-06
102045, 2, 3, 2.168445, 2.168770, 2.168608,388.13, 0.000560743, 1.83781e-06
102045, 2, 3, 2.168482, 2.168708, 2.168595,388.13, 0.000560743, 1.83818e-06
102045, 2, 3, 2.168417, 2.168724, 2.168571,388.13, 0.000560743, 1.83825e-06
102045, 2, 3, 2.167796, 2.168701, 2.168248,388.13, 0.000560743, 1.83795e-06
102045, 2, 3, 2.168368, 2.168775, 2.168571,388.13, 0.000560743, 1.83837e-06
102045, 2, 3, 2.167768, 2.168682, 2.168225,388.13, 0.000560743, 1.83746e-06
102045, 2, 3, 2.168403, 2.168889, 2.168646,388.13, 0.000560743, 1.83837e-06
102045, 2, 3, 2.168412, 2.168668, 2.168540,388.13, 0.000560743, 1.84044e-06
10420, 2, 3, 0.234060, 0.234682, 0.234371,80.86, 0.000217376, 1.01196e-05
10420, 2, 3, 0.234171, 0.234691, 0.234431,80.86, 0.000217376, 1.01191e-05
10420, 2, 3, 0.234132, 0.234685, 0.234409,80.86, 0.000217376, 1.01191e-05
