Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Min_Send_Bw, Max_Send_Bw(Secs), Average_Send_Bw(Secs), Min_Rec_Bw, Max_Rec_Bw(Secs), Average_Recv_Bw(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 2, 3, 6.027347, 6.027478, 6.027412,2914.225403, 3023.559751, 2968.892577,2930.345034, 3028.536047, 2979.440540,22582.27, 0.000578011, 1.74052e-06
102045, 2, 3, 6.026742, 6.027996, 6.027369,2912.278183, 3023.524148, 2967.901166,2928.625660, 3028.305979, 2978.465819,22582.27, 0.000578011, 1.74052e-06
102045, 2, 3, 6.025801, 6.026095, 6.025948,2916.920793, 3023.408882, 2970.164837,2933.066567, 3028.043891, 2980.555229,22582.27, 0.000578011, 1.74052e-06
102045, 2, 3, 6.025873, 6.026081, 6.025977,2916.490578, 3024.001977, 2970.246277,2931.713397, 3028.779066, 2980.246232,22582.27, 0.000578011, 1.74052e-06
102045, 2, 3, 6.025589, 6.025788, 6.025688,2916.844300, 3024.144114, 2970.494207,2932.030023, 3028.736749, 2980.383386,22582.27, 0.000578011, 1.74052e-06
102045, 2, 3, 6.025872, 6.026105, 6.025989,2915.626563, 3023.974003, 2969.800283,2931.258578, 3028.579316, 2979.918947,22582.27, 0.000578011, 1.74052e-06
102045, 2, 3, 6.025449, 6.025562, 6.025506,2917.754421, 3024.210366, 2970.982393,2933.417421, 3028.885061, 2981.151241,22582.27, 0.000578011, 1.74052e-06
102045, 2, 3, 6.025653, 6.025771, 6.025712,2917.396250, 3024.062441, 2970.729346,2933.163969, 3028.792981, 2980.978475,22582.27, 0.000578011, 1.74052e-06
102045, 2, 3, 6.025498, 6.025645, 6.025572,2915.873827, 3024.096260, 2969.985044,2931.735595, 3028.652240, 2980.193917,22582.27, 0.000578011, 1.74052e-06
102045, 2, 3, 6.025522, 6.026606, 6.026064,2917.880945, 3022.493695, 2970.187320,2933.236298, 3027.113239, 2980.174768,22582.27, 0.000578011, 1.74052e-06
102045, 2, 3, 6.025169, 6.026263, 6.025716,2918.200949, 3022.313569, 2970.257259,2933.448951, 3027.175444, 2980.312198,22582.27, 0.000578011, 1.74052e-06
102045, 2, 3, 6.025880, 6.025964, 6.025922,2916.873568, 3024.059192, 2970.466380,2932.595406, 3028.631426, 2980.613416,22582.27, 0.000578011, 1.74052e-06
102045, 2, 3, 6.025341, 6.025448, 6.025394,2916.776163, 3024.077445, 2970.426804,2932.139586, 3028.767509, 2980.453547,22582.27, 0.000578011, 1.74052e-06
102045, 2, 3, 6.026221, 6.026405, 6.026313,2915.471077, 3023.639869, 2969.555473,2931.450223, 3028.428837, 2979.939530,22582.27, 0.000578011, 1.74052e-06
102045, 2, 3, 6.026121, 6.026638, 6.026379,2913.655155, 3023.937618, 2968.796386,2929.490946, 3028.184113, 2978.837529,22582.27, 0.000578011, 1.74052e-06
