Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Min_Send_Bw, Max_Send_Bw(Secs), Average_Send_Bw(Secs), Min_Rec_Bw, Max_Rec_Bw(Secs), Average_Recv_Bw(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 2, 3, 2.599187, 2.599554, 2.599371,966.145660, 2650.450388, 1808.298024,990.779460, 3504.519379, 2247.649420,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.599002, 2.602290, 2.600646,388.220596, 2615.219534, 1501.720065,394.771818, 3423.507108, 1909.139463,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.600232, 2.602784, 2.601508,440.292977, 2606.188670, 1523.240824,451.335180, 3374.371293, 1912.853237,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.599092, 2.599470, 2.599281,949.777922, 2660.228271, 1805.003097,973.600893, 3498.067491, 2235.834192,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.599156, 2.599466, 2.599311,963.462959, 2647.540056, 1805.501507,988.754038, 3509.653482, 2249.203760,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.599012, 2.599344, 2.599178,967.166447, 2654.687431, 1810.926939,992.435038, 3505.128865, 2248.781952,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.599112, 2.599470, 2.599291,956.593939, 2654.344679, 1805.469309,982.770530, 3499.479261, 2241.124896,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.599062, 2.599384, 2.599223,966.989953, 2657.311211, 1812.150582,989.682084, 3504.355740, 2247.018912,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.599034, 2.599345, 2.599189,960.692629, 2643.939267, 1802.315948,985.902842, 3499.991023, 2242.946933,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.599790, 2.600630, 2.600210,1158.945205, 2204.154300, 1681.549753,1215.451999, 2732.769175, 1974.110587,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.599131, 2.599371, 2.599251,965.059390, 2661.519865, 1813.289627,989.646368, 3505.181823, 2247.414096,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.599118, 2.599507, 2.599313,950.118487, 2648.465758, 1799.292123,973.245018, 3497.561103, 2235.403061,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.599094, 2.599307, 2.599200,965.417118, 2660.218697, 1812.817907,991.545191, 3498.505478, 2245.025335,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.599225, 2.599578, 2.599402,955.513619, 2655.279140, 1805.396379,983.264158, 3504.265522, 2243.764840,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.599034, 2.599370, 2.599202,959.098170, 2664.266604, 1811.682387,986.246154, 3498.046702, 2242.146428,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.599066, 2.599433, 2.599249,959.919169, 2653.492175, 1806.705672,985.016697, 3500.290134, 2242.653415,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.600232, 2.600484, 2.600358,892.722466, 2638.392850, 1765.557658,933.906733, 3429.640383, 2181.773558,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.599047, 2.599335, 2.599191,968.058963, 2654.714371, 1811.386667,994.099361, 3505.437746, 2249.768554,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.601958, 2.602427, 2.602192,831.096197, 2591.405782, 1711.250989,881.667492, 3362.189292, 2121.928392,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.599417, 2.599795, 2.599606,945.728276, 2667.064451, 1806.396363,969.641994, 3495.964756, 2232.803375,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.599360, 2.599717, 2.599538,947.998093, 2661.641559, 1804.819826,974.416955, 3493.512391, 2233.964673,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.599464, 2.599785, 2.599625,947.433819, 2667.774095, 1807.603957,972.550608, 3494.529309, 2233.539959,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.599410, 2.599741, 2.599576,942.203009, 2664.592935, 1803.397972,968.175517, 3491.576601, 2229.876059,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.600497, 2.600835, 2.600666,884.803962, 2632.380327, 1758.592145,923.871197, 3422.215283, 2173.043240,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.599362, 2.599772, 2.599567,949.035731, 2659.421606, 1804.228668,974.696100, 3499.918758, 2237.307429,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.600579, 2.600846, 2.600713,886.077758, 2627.596195, 1756.836976,931.504589, 3417.405835, 2174.455212,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.599139, 2.599438, 2.599288,968.820794, 2657.090616, 1812.955705,993.576781, 3503.703650, 2248.640216,371.96, 0.000560744, 1.80087e-06
