Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Min_Send_Bw, Max_Send_Bw(Secs), Average_Send_Bw(Secs), Min_Rec_Bw, Max_Rec_Bw(Secs), Average_Recv_Bw(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 2, 3, 2.295989, 2.307186, 2.301587,60.031888, 2732.963078, 1396.497483,60.177530, 3657.029520, 1858.603525,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.294728, 2.307834, 2.301281,80.704723, 1298.534368, 689.619545,80.976432, 1464.985899, 772.981165,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.298593, 2.307028, 2.302811,41.671938, 2735.419825, 1388.545881,41.731215, 3665.989626, 1853.860421,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.295789, 2.306995, 2.301392,61.076021, 2734.289407, 1397.682714,61.213650, 3663.437461, 1862.325555,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.296090, 2.306800, 2.301445,53.922204, 2744.369178, 1399.145691,54.020034, 3669.842720, 1861.931377,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.295452, 2.307284, 2.301368,66.559186, 2611.428921, 1338.994054,66.732824, 3430.280128, 1748.506476,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.296217, 2.307027, 2.301622,62.445644, 2735.105469, 1398.775557,62.600309, 3656.535204, 1859.567756,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.296164, 2.306761, 2.301463,62.776048, 2738.192029, 1400.484039,62.923896, 3661.933339, 1862.428618,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.295816, 2.306920, 2.301368,70.731660, 2626.540762, 1348.636211,70.927036, 3442.599877, 1756.763457,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.296148, 2.306778, 2.301463,63.544193, 2742.207721, 1402.875957,63.696469, 3672.208031, 1867.952250,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.296146, 2.307073, 2.301610,62.309287, 2731.956545, 1397.132916,62.466053, 3658.623248, 1860.544650,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.296161, 2.306853, 2.301507,63.916578, 2734.974312, 1399.445445,64.077670, 3666.139972, 1865.108821,388.13, 0.00125492, 3.07792e-06
