Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 2, 3, 2.135878, 2.138936, 2.137407,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.136046, 2.140842, 2.138444,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.136760, 2.138025, 2.137392,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.135957, 2.140425, 2.138191,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.135815, 2.140436, 2.138126,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.136181, 2.137796, 2.136989,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.136213, 2.136947, 2.136580,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.136175, 2.138309, 2.137242,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.135976, 2.138768, 2.137372,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.136025, 2.137950, 2.136987,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.135925, 2.140493, 2.138209,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.136228, 2.136645, 2.136437,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.136132, 2.136552, 2.136342,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.135880, 2.139455, 2.137667,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.135986, 2.140932, 2.138459,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.135933, 2.141024, 2.138479,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.136301, 2.140892, 2.138597,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.135939, 2.141007, 2.138473,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.135818, 2.140489, 2.138154,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.135889, 2.139769, 2.137829,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.135897, 2.140051, 2.137974,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.135878, 2.140750, 2.138314,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.135945, 2.139212, 2.137578,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.136275, 2.137002, 2.136639,371.96, 0.000560744, 1.80991e-06
102045, 2, 3, 2.136114, 2.138190, 2.137152,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.135862, 2.139566, 2.137714,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.135892, 2.139912, 2.137902,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.135829, 2.141049, 2.138439,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.136274, 2.139791, 2.138033,371.96, 0.000560744, 1.80087e-06
102045, 2, 3, 2.136102, 2.139693, 2.137898,371.96, 0.000560744, 1.80087e-06
10420, 2, 3, 0.304977, 0.305697, 0.305337,83.21, 0.000217376, 1.01102e-05
10420, 2, 3, 0.304223, 0.304989, 0.304606,83.21, 0.000217376, 1.01102e-05
10420, 2, 3, 0.304889, 0.305440, 0.305165,83.21, 0.000217376, 1.01102e-05
