Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Min_Send_Bw, Max_Send_Bw(Secs), Average_Send_Bw(Secs), Min_Rec_Bw, Max_Rec_Bw(Secs), Average_Recv_Bw(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 2, 3, 5.081476, 5.082341, 5.081909,3422.001598, 3533.635590, 3477.818594,3437.424301, 3536.088713, 3486.756507,22547.82, 0.000562462, 1.76531e-06
102045, 2, 3, 5.081295, 5.084640, 5.082968,3411.642249, 3535.237374, 3473.439811,3427.013596, 3537.646626, 3482.330111,22547.82, 0.000562462, 1.76531e-06
102045, 2, 3, 5.080640, 5.084697, 5.082668,3422.856249, 3523.228088, 3473.042169,3437.543249, 3525.335916, 3481.439583,22547.82, 0.000562462, 1.76531e-06
102045, 2, 3, 5.080213, 5.081139, 5.080676,3422.900075, 3533.329605, 3478.114840,3437.574339, 3535.751203, 3486.662771,22547.82, 0.000562462, 1.76531e-06
102045, 2, 3, 5.080816, 5.080948, 5.080882,3421.009031, 3535.118781, 3478.063906,3435.962084, 3537.517239, 3486.739661,22547.82, 0.000562462, 1.76531e-06
102045, 2, 3, 5.080768, 5.081763, 5.081265,3421.259870, 3533.058084, 3477.158977,3436.210309, 3535.535593, 3485.872951,22547.82, 0.000562462, 1.76531e-06
102045, 2, 3, 5.081197, 5.082141, 5.081669,3422.329695, 3532.997463, 3477.663579,3438.417504, 3535.619340, 3487.018422,22547.82, 0.000562462, 1.76531e-06
102045, 2, 3, 5.081093, 5.082090, 5.081591,3422.577164, 3531.820117, 3477.198641,3437.232140, 3534.329659, 3485.780899,22547.82, 0.000562462, 1.76531e-06
102045, 2, 3, 5.081588, 5.081773, 5.081681,3418.859433, 3535.160537, 3477.009985,3433.964378, 3537.529300, 3485.746839,22547.82, 0.000562462, 1.76531e-06
102045, 2, 3, 5.080916, 5.081850, 5.081383,3422.661539, 3533.007512, 3477.834525,3437.706371, 3535.641886, 3486.674129,22547.82, 0.000562462, 1.76531e-06
102045, 2, 3, 5.080657, 5.080989, 5.080823,3420.667189, 3535.044385, 3477.855787,3435.354428, 3537.540573, 3486.447500,22547.82, 0.000562462, 1.76531e-06
102045, 2, 3, 5.081374, 5.081472, 5.081423,3421.213586, 3535.101389, 3478.157487,3436.347636, 3537.610719, 3486.979177,22547.82, 0.000562462, 1.76531e-06
102045, 2, 3, 5.080971, 5.081384, 5.081177,3420.934380, 3534.921892, 3477.928136,3436.710495, 3537.595286, 3487.152891,22547.82, 0.000562462, 1.76531e-06
102045, 2, 3, 5.081427, 5.081671, 5.081549,3419.292480, 3535.093845, 3477.193163,3434.220355, 3537.629111, 3485.924733,22547.82, 0.000562462, 1.76531e-06
102045, 2, 3, 5.081249, 5.081505, 5.081377,3420.885898, 3534.087576, 3477.486737,3435.969253, 3537.653664, 3486.811458,22547.82, 0.000562462, 1.76531e-06
