Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 2, 3, 2.139540, 2.150235, 2.144888,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.134893, 2.149931, 2.142412,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.141823, 2.150285, 2.146054,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.139291, 2.149927, 2.144609,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.138165, 2.149969, 2.144067,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.139577, 2.150223, 2.144900,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.138644, 2.150432, 2.144538,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.138147, 2.149974, 2.144060,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.138068, 2.149955, 2.144012,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.139498, 2.150076, 2.144787,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.137968, 2.149792, 2.143880,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.139356, 2.149995, 2.144675,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.139370, 2.149986, 2.144678,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.138086, 2.149959, 2.144023,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.139355, 2.150022, 2.144688,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.139409, 2.150033, 2.144721,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.139762, 2.151544, 2.145653,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.138213, 2.150077, 2.144145,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.138795, 2.150609, 2.144702,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.137896, 2.149757, 2.143826,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.139122, 2.149845, 2.144483,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.139327, 2.150052, 2.144689,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.138060, 2.149868, 2.143964,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.138092, 2.150056, 2.144074,388.13, 0.000560743, 1.80086e-06
102045, 2, 3, 2.139314, 2.149959, 2.144636,388.13, 0.000560743, 1.80086e-06
