Data Size, Floats8, Extra Floats, t(us), min, max, avg (in MB/s)
1368, 43, 6, 19.73, 61.14, 68.20, 66.15
4000, 125, 0, 19.81, 180.05, 197.23, 192.63
14112, 441, 0, 20.42, 610.93, 683.13, 659.18
22680, 709, 6, 20.77, 866.40, 1074.75, 1042.37
35280, 1103, 4, 21.44, 1412.44, 1612.08, 1569.65
50760, 1587, 2, 25.23, 1445.66, 2252.66, 1969.85
70080, 2190, 0, 27.11, 1944.70, 2946.09, 2531.89
93744, 2930, 4, 31.19, 2393.80, 3854.33, 2909.65
170160, 5318, 4, 37.05, 3988.63, 4626.51, 4381.79
264000, 8250, 0, 30.00, 6250.34, 8955.17, 8480.05
385560, 12049, 6, 34.69, 9236.80, 11049.63, 10611.83
534912, 16716, 0, 40.98, 12115.71, 12847.89, 12450.22
749280, 23415, 0, 55.05, 11294.23, 14157.87, 13017.67
1127616, 35238, 0, 74.74, 14216.87, 14554.86, 14389.11
1415736, 44242, 6, 89.42, 14476.97, 15458.65, 15101.41
1887648, 58989, 0, 113.14, 15594.80, 16112.79, 15912.64
3775296, 117978, 0, 208.24, 17025.84, 17401.53, 17289.88
17366360, 542699, 6, 895.30, 18429.41, 18600.23, 18498.77
69465444, 2170796, 1, 3524.91, 18775.76, 18808.89, 18794.07
277861784, 8683181, 6, 14026.46, 18888.66, 18894.56, 18892.12
1055874776, 32996087, 6, 53232.02, 18915.69, 18917.50, 18916.45
