Data Size, Floats8, Extra Floats, t(us), min, max, avg (in MB/s)
1368, 43, 6, 19.84, 57.97, 67.54, 65.80
4000, 125, 0, 19.90, 172.50, 196.90, 191.75
14112, 441, 0, 20.38, 599.64, 675.85, 660.57
22680, 709, 6, 20.80, 949.05, 1079.33, 1040.51
35280, 1103, 4, 21.71, 1096.07, 1630.20, 1557.92
50760, 1587, 2, 25.16, 1444.49, 2247.74, 1977.11
70080, 2190, 0, 26.94, 2021.67, 2985.97, 2546.50
93744, 2930, 4, 31.67, 2485.20, 3778.90, 2856.63
170160, 5318, 4, 37.00, 4167.74, 4662.40, 4386.61
264000, 8250, 0, 29.09, 7983.07, 9059.90, 8660.10
385560, 12049, 6, 34.70, 9756.13, 10868.53, 10602.50
534912, 16716, 0, 41.43, 11998.30, 12713.88, 12315.50
749280, 23415, 0, 55.68, 11195.40, 13981.00, 12858.99
1127616, 35238, 0, 75.04, 13797.25, 14714.58, 14332.98
1415736, 44242, 6, 89.79, 14527.83, 15270.27, 15038.84
1887648, 58989, 0, 113.10, 15449.85, 16244.30, 15919.64
3775296, 117978, 0, 208.35, 16993.21, 17465.77, 17281.15
17366360, 542699, 6, 895.82, 18422.83, 18555.40, 18487.96
69465444, 2170796, 1, 3524.74, 18783.41, 18800.96, 18795.01
277861784, 8683181, 6, 14026.50, 18886.74, 18895.20, 18892.07
1055874776, 32996087, 6, 53231.03, 18915.66, 18918.00, 18916.80
