Data Size, Floats8, Extra Floats, t(us), min, max, avg (in MB/s)
1368, 43, 6, 19.91, 59.33, 67.74, 65.57
4000, 125, 0, 20.31, 151.42, 193.81, 187.95
14112, 441, 0, 20.54, 598.53, 687.77, 655.55
22680, 709, 6, 23.57, 696.24, 1045.65, 939.68
35280, 1103, 4, 29.68, 1005.11, 1500.56, 1149.75
50760, 1587, 2, 35.14, 1234.36, 1864.09, 1380.14
70080, 2190, 0, 28.89, 1692.12, 2478.67, 2336.18
93744, 2930, 4, 32.43, 2602.35, 2941.31, 2758.02
170160, 5318, 4, 47.99, 3200.13, 3513.48, 3382.04
264000, 8250, 0, 71.70, 3231.05, 3592.71, 3513.46
385560, 12049, 6, 95.62, 3777.20, 4018.56, 3845.97
534912, 16716, 0, 125.57, 4024.41, 4114.35, 4062.57
749280, 23415, 0, 168.80, 4206.27, 4270.24, 4233.30
1127616, 35238, 0, 245.42, 4340.64, 4401.44, 4381.91
1415736, 44242, 6, 303.48, 4421.46, 4465.97, 4448.90
1887648, 58989, 0, 398.90, 4472.65, 4523.93, 4512.94
3775296, 117978, 0, 779.34, 4612.34, 4626.90, 4619.84
17366360, 542699, 6, 3522.64, 4699.60, 4704.91, 4701.55
69465444, 2170796, 1, 14024.90, 4722.41, 4724.66, 4723.56
277861784, 8683181, 6, 56030.28, 4729.19, 4729.74, 4729.40
1055874776, 32996087, 6, 212846.42, 4730.89, 4730.99, 4730.93
