Data Size, Floats8, Extra Floats, t(us), min, max, avg (in MB/s)
1368, 43, 6, 19.87, 59.67, 67.68, 65.69
4000, 125, 0, 20.17, 175.89, 196.45, 189.17
14112, 441, 0, 20.38, 579.07, 687.40, 660.81
22680, 709, 6, 23.55, 704.46, 1062.21, 942.31
35280, 1103, 4, 29.48, 1022.03, 1507.96, 1159.17
50760, 1587, 2, 35.29, 1265.55, 1439.08, 1373.30
70080, 2190, 0, 28.71, 1614.75, 2476.32, 2349.31
93744, 2930, 4, 32.44, 2578.04, 2918.37, 2756.61
170160, 5318, 4, 48.28, 2601.81, 3500.22, 3364.55
264000, 8250, 0, 71.26, 3428.59, 3620.95, 3533.61
385560, 12049, 6, 95.85, 3759.55, 3887.58, 3836.55
534912, 16716, 0, 126.18, 3992.31, 4083.13, 4043.17
749280, 23415, 0, 169.91, 4110.95, 4247.02, 4205.68
1127616, 35238, 0, 246.30, 4303.55, 4410.60, 4366.20
1415736, 44242, 6, 303.76, 4404.31, 4484.49, 4444.93
1887648, 58989, 0, 399.15, 4494.56, 4528.17, 4510.07
3775296, 117978, 0, 779.51, 4608.08, 4627.95, 4618.78
17366360, 542699, 6, 3523.37, 4694.57, 4703.78, 4700.57
69465444, 2170796, 1, 14025.53, 4722.71, 4723.96, 4723.34
277861784, 8683181, 6, 56030.65, 4729.20, 4729.62, 4729.37
1055874776, 32996087, 6, 212845.72, 4730.90, 4731.02, 4730.94
