Data Size, Floats8, Extra Floats, t(us), min, max, avg (in MB/s)
1024, 32, 0, 20.39, 39.36, 49.13, 47.95
2048, 64, 0, 20.06, 80.86, 100.24, 97.42
4096, 128, 0, 20.23, 178.12, 200.43, 193.16
8192, 256, 0, 20.54, 345.79, 397.63, 380.44
16384, 512, 0, 24.73, 496.06, 761.58, 650.65
32768, 1024, 0, 26.37, 899.05, 1487.46, 1221.02
65536, 2048, 0, 27.80, 1829.20, 2836.01, 2308.47
131072, 4096, 0, 34.35, 3399.83, 4833.44, 3643.09
262144, 8192, 0, 30.95, 7560.86, 8610.74, 8080.80
524288, 16384, 0, 42.15, 11298.16, 12286.97, 11866.35
1048576, 32768, 0, 72.64, 11383.56, 14121.60, 13795.22
1572864, 49152, 0, 97.56, 14930.80, 15778.84, 15377.71
2097152, 65536, 0, 123.59, 16015.31, 16484.78, 16183.89
4194304, 131072, 0, 230.78, 17059.02, 17480.72, 17333.40
8388608, 262144, 0, 442.20, 17992.83, 18170.81, 18091.68
16777216, 524288, 0, 866.49, 18424.99, 18538.51, 18465.30
67108864, 2097152, 0, 3405.25, 18782.96, 18811.06, 18794.53
268435456, 8388608, 0, 13552.17, 18883.59, 18894.41, 18889.96
1073741824, 33554432, 0, 54132.48, 18914.48, 18917.65, 18916.55
