Data Size, Floats8, Extra Floats, t(us), min, max, avg (in MB/s)
1024, 32, 0, 19.70, 45.25, 50.76, 49.61
2048, 64, 0, 19.58, 91.30, 102.20, 99.79
4096, 128, 0, 19.80, 179.95, 201.39, 197.36
8192, 256, 0, 19.98, 372.25, 397.06, 391.04
16384, 512, 0, 21.02, 470.87, 782.62, 749.63
32768, 1024, 0, 25.35, 986.38, 1533.89, 1272.46
65536, 2048, 0, 26.29, 1879.73, 2838.59, 2442.57
131072, 4096, 0, 34.16, 3299.46, 4957.27, 3673.89
262144, 8192, 0, 29.91, 5932.04, 9098.85, 8444.43
524288, 16384, 0, 40.52, 12164.12, 12578.62, 12342.08
1048576, 32768, 0, 71.30, 12175.60, 14620.95, 14043.03
1572864, 49152, 0, 97.67, 14892.77, 15685.86, 15359.54
2097152, 65536, 0, 124.24, 15886.44, 16295.20, 16098.69
4194304, 131072, 0, 230.02, 17314.48, 17500.99, 17390.26
8388608, 262144, 0, 443.83, 17867.99, 18091.98, 18025.22
16777216, 524288, 0, 867.70, 18389.60, 18478.26, 18439.61
67108864, 2097152, 0, 3406.11, 18780.82, 18801.91, 18789.78
268435456, 8388608, 0, 13551.52, 18884.45, 18897.15, 18890.87
1073741824, 33554432, 0, 54132.08, 18914.73, 18918.77, 18916.70
