Data Size, Floats8, Extra Floats, t(us), min, max, avg (in MB/s)
1024, 32, 0, 20.25, 43.95, 49.48, 48.24
2048, 64, 0, 20.35, 79.89, 98.45, 96.01
4096, 128, 0, 20.74, 126.75, 197.92, 188.75
8192, 256, 0, 20.71, 256.85, 396.00, 379.09
16384, 512, 0, 26.59, 521.55, 767.95, 601.77
32768, 1024, 0, 26.85, 935.99, 1421.13, 1193.09
65536, 2048, 0, 33.28, 1569.44, 2321.39, 1929.98
131072, 4096, 0, 40.05, 2856.10, 3257.67, 3122.05
262144, 8192, 0, 70.33, 3230.00, 3798.01, 3555.75
524288, 16384, 0, 123.53, 3933.60, 4108.85, 4047.87
1048576, 32768, 0, 228.92, 4347.58, 4402.66, 4368.44
1572864, 49152, 0, 334.66, 4468.18, 4498.39, 4482.12
2097152, 65536, 0, 440.74, 4514.55, 4560.19, 4537.84
4194304, 131072, 0, 863.71, 4617.21, 4641.08, 4631.18
8388608, 262144, 0, 1711.61, 4667.03, 4681.48, 4673.98
16777216, 524288, 0, 3404.92, 4695.31, 4705.97, 4699.08
67108864, 2097152, 0, 13550.24, 4722.52, 4725.04, 4723.16
268435456, 8388608, 0, 54131.04, 4729.02, 4729.45, 4729.26
1073741824, 33554432, 0, 216448.69, 4730.86, 4731.00, 4730.91
