Data Size, Floats8, Extra Floats, t(us), min, max, avg (in MB/s)
1024, 32, 0, 19.82, 39.69, 50.20, 49.32
2048, 64, 0, 19.95, 90.28, 100.63, 97.95
4096, 128, 0, 20.05, 184.01, 201.42, 194.90
8192, 256, 0, 20.48, 259.25, 400.87, 382.89
16384, 512, 0, 27.93, 502.86, 779.59, 565.86
32768, 1024, 0, 26.76, 921.65, 1438.43, 1198.73
65536, 2048, 0, 31.18, 1583.46, 2372.41, 2056.32
131072, 4096, 0, 39.99, 2954.73, 3287.09, 3126.54
262144, 8192, 0, 70.99, 3105.73, 3603.76, 3522.44
524288, 16384, 0, 124.11, 3929.49, 4091.95, 4029.23
1048576, 32768, 0, 229.62, 4330.50, 4378.58, 4355.06
1572864, 49152, 0, 334.98, 4438.01, 4511.32, 4477.90
2097152, 65536, 0, 440.98, 4521.58, 4558.00, 4535.42
4194304, 131072, 0, 864.49, 4617.69, 4639.92, 4627.03
8388608, 262144, 0, 1713.27, 4614.17, 4691.27, 4669.48
16777216, 524288, 0, 3403.59, 4697.01, 4707.84, 4700.92
67108864, 2097152, 0, 13550.29, 4721.88, 4723.89, 4723.15
268435456, 8388608, 0, 54130.92, 4728.95, 4729.54, 4729.27
1073741824, 33554432, 0, 216447.78, 4730.87, 4730.98, 4730.93
