Data Size, Floats, t(us), min, max, avg (in MB/s)
1368, 342, 111.135630, 1.17, 37.70, 35.34
4000, 1000, 153.868140, 58.09, 77.72, 74.30
14112, 3528, 161.450540, 204.08, 270.72, 249.96
22680, 5670, 183.051610, 191.31, 380.23, 355.53
35280, 8820, 208.497310, 338.89, 520.78, 484.59
50760, 12690, 256.925180, 373.06, 598.36, 566.25
70080, 17520, 276.820060, 438.71, 757.10, 725.83
93744, 23436, 343.658110, 496.90, 818.43, 782.03
170160, 42540, 460.403490, 607.07, 1097.19, 1060.46
264000, 66000, 593.075900, 600.90, 1322.56, 1279.68
385560, 96390, 809.089360, 715.98, 1401.17, 1369.25
534912, 133728, 1063.500860, 1045.04, 1478.68, 1440.09
749280, 187320, 1438.144790, 1232.23, 1525.11, 1490.95
1127616, 281904, 1999.573950, 1051.47, 1667.95, 1616.63
1415736, 353934, 2483.734280, 1132.96, 1670.85, 1633.07
1887648, 471912, 3225.278620, 1031.49, 1737.47, 1678.69
3775296, 943824, 6551.877150, 1110.48, 1780.99, 1652.47
17366360, 4341590, 32024.909680, 929.11, 1823.67, 1587.89
69465444, 17366361, 130394.950340, 917.89, 1847.89, 1555.96
277861784, 69465446, 519496.519780, 880.49, 1790.61, 1546.85
1055874776, 263968694, 1985097.380760, 958.03, 1733.86, 1531.17
