Data Size, Floats8, Extra Floats, t(us), min, max, avg (in MB/s)
1368, 43, 6, 20.30, 57.67, 66.81, 64.30
4000, 125, 0, 20.25, 170.81, 193.40, 188.46
14112, 441, 0, 20.76, 591.71, 665.57, 648.57
22680, 709, 6, 21.67, 708.66, 1051.24, 1004.10
35280, 1103, 4, 24.64, 1078.01, 1604.92, 1399.16
50760, 1587, 2, 26.86, 1437.16, 2205.50, 1849.31
70080, 2190, 0, 32.01, 1841.32, 2806.89, 2099.99
93744, 2930, 4, 33.39, 2340.22, 3705.44, 2687.82
170160, 5318, 4, 33.16, 3859.52, 5817.43, 4998.91
264000, 8250, 0, 33.15, 7176.62, 8027.87, 7601.21
385560, 12049, 6, 45.03, 8009.99, 8359.73, 8167.74
534912, 16716, 0, 59.11, 8139.58, 8859.22, 8631.65
749280, 23415, 0, 80.95, 8605.74, 8958.88, 8828.25
1127616, 35238, 0, 112.49, 9383.39, 9649.19, 9560.52
1415736, 44242, 6, 136.90, 9721.74, 9948.87, 9862.97
1887648, 58989, 0, 179.03, 9950.67, 10120.23, 10055.31
3775296, 117978, 0, 352.45, 10162.82, 10284.82, 10215.48
17366360, 542699, 6, 1598.40, 10353.15, 10377.85, 10361.53
69465444, 2170796, 1, 6371.74, 10393.69, 10401.42, 10397.08
277861784, 8683181, 6, 25459.42, 10407.04, 10409.58, 10408.31
1055874776, 32996087, 6, 96715.68, 10411.34, 10411.94, 10411.55
