Data Size, Floats8, Extra Floats, t(us), min, max, avg (in MB/s)
1368, 43, 6, 19.79, 59.94, 67.73, 65.94
4000, 125, 0, 19.93, 175.30, 195.85, 191.48
14112, 441, 0, 20.43, 604.61, 676.11, 658.95
22680, 709, 6, 20.98, 947.62, 1060.73, 1031.26
35280, 1103, 4, 22.24, 1082.27, 1594.58, 1525.82
50760, 1587, 2, 26.06, 1389.41, 2196.79, 1908.46
70080, 2190, 0, 30.41, 1951.40, 2873.57, 2241.47
93744, 2930, 4, 33.49, 2393.29, 3631.24, 2680.36
170160, 5318, 4, 34.21, 3987.74, 6252.49, 4893.25
264000, 8250, 0, 30.99, 7843.79, 8546.46, 8127.30
385560, 12049, 6, 37.77, 9508.87, 10013.58, 9737.29
534912, 16716, 0, 45.99, 10504.97, 11320.79, 11095.83
749280, 23415, 0, 62.02, 10740.96, 11750.08, 11526.59
1127616, 35238, 0, 82.54, 12348.96, 13503.25, 13031.29
1415736, 44242, 6, 96.97, 13639.27, 14202.70, 13926.15
1887648, 58989, 0, 124.48, 14165.45, 14625.20, 14463.05
3775296, 117978, 0, 239.37, 14737.54, 15226.17, 15041.63
17366360, 542699, 6, 1071.01, 15436.44, 15518.42, 15463.87
69465444, 2170796, 1, 4247.79, 15586.41, 15615.36, 15595.73
277861784, 8683181, 6, 16943.48, 15635.94, 15642.03, 15639.63
1055874776, 32996087, 6, 64338.77, 15649.03, 15651.76, 15650.91
