Data Size, Floats8, Extra Floats, t(us), min, max, avg (in MB/s)
1368, 43, 6, 19.99, 60.82, 67.60, 65.29
4000, 125, 0, 20.30, 170.96, 193.36, 187.96
14112, 441, 0, 20.09, 598.17, 697.93, 670.21
22680, 709, 6, 20.36, 739.39, 1098.21, 1065.55
35280, 1103, 4, 29.37, 1010.35, 1531.19, 1160.93
50760, 1587, 2, 34.48, 1252.47, 1460.75, 1405.62
70080, 2190, 0, 28.27, 1714.71, 2507.26, 2385.52
93744, 2930, 4, 31.93, 2548.35, 2929.22, 2801.33
170160, 5318, 4, 47.47, 3159.30, 3540.54, 3419.19
264000, 8250, 0, 71.20, 3213.65, 3626.90, 3538.37
385560, 12049, 6, 94.90, 3840.48, 3934.63, 3874.89
534912, 16716, 0, 125.17, 4013.40, 4116.36, 4075.78
749280, 23415, 0, 168.52, 4200.09, 4273.61, 4240.29
1127616, 35238, 0, 244.91, 4327.85, 4420.06, 4391.02
1415736, 44242, 6, 303.09, 4396.91, 4483.59, 4454.71
1887648, 58989, 0, 397.98, 4497.46, 4549.92, 4523.42
3775296, 117978, 0, 778.92, 4614.01, 4631.10, 4622.32
17366360, 542699, 6, 3523.35, 4697.56, 4703.01, 4700.60
69465444, 2170796, 1, 14025.35, 4722.85, 4724.41, 4723.41
277861784, 8683181, 6, 56030.25, 4729.19, 4729.59, 4729.40
1055874776, 32996087, 6, 212846.71, 4730.87, 4730.97, 4730.92
