Data Size, Floats8, Extra Floats, t(us), min, max, avg (in MB/s)
1368, 43, 6, 19.73, 61.25, 68.07, 66.15
4000, 125, 0, 19.99, 176.38, 198.08, 190.85
14112, 441, 0, 19.85, 605.45, 703.68, 678.35
22680, 709, 6, 20.55, 741.15, 1101.88, 1056.81
35280, 1103, 4, 29.40, 974.59, 1515.57, 1161.50
50760, 1587, 2, 34.59, 1273.72, 1909.76, 1402.19
70080, 2190, 0, 28.32, 1692.42, 2482.86, 2376.89
93744, 2930, 4, 32.48, 1965.58, 2970.14, 2759.36
170160, 5318, 4, 47.74, 3122.55, 3552.56, 3400.12
264000, 8250, 0, 71.67, 3203.47, 3588.21, 3515.23
385560, 12049, 6, 95.41, 3821.04, 3906.29, 3853.87
534912, 16716, 0, 126.04, 3986.01, 4082.61, 4047.44
749280, 23415, 0, 169.26, 4158.39, 4292.44, 4222.00
1127616, 35238, 0, 246.06, 4336.83, 4419.61, 4370.53
1415736, 44242, 6, 303.59, 4411.72, 4469.12, 4447.37
1887648, 58989, 0, 399.29, 4487.86, 4524.15, 4508.53
3775296, 117978, 0, 779.72, 4608.83, 4629.56, 4617.58
17366360, 542699, 6, 3522.85, 4698.85, 4704.37, 4701.27
69465444, 2170796, 1, 14025.85, 4722.47, 4724.45, 4723.24
277861784, 8683181, 6, 56030.09, 4729.20, 4729.58, 4729.42
1055874776, 32996087, 6, 212846.02, 4730.86, 4731.01, 4730.93
