Data Size, Floats8, Extra Floats, t(us), min, max, avg (in MB/s)
1024, 32, 0, 19.89, 42.25, 50.85, 49.13
2048, 64, 0, 19.80, 81.42, 100.92, 98.69
4096, 128, 0, 20.15, 179.57, 199.17, 193.94
8192, 256, 0, 20.37, 353.42, 393.18, 383.58
16384, 512, 0, 20.79, 690.76, 767.10, 751.66
32768, 1024, 0, 24.89, 909.30, 1516.81, 1289.33
65536, 2048, 0, 30.73, 1787.94, 2695.82, 2059.38
131072, 4096, 0, 35.67, 3263.54, 4792.03, 3511.84
262144, 8192, 0, 32.44, 7322.25, 8142.39, 7709.05
524288, 16384, 0, 58.32, 8181.43, 8877.53, 8576.77
1048576, 32768, 0, 105.89, 9007.83, 9613.95, 9445.85
1572864, 49152, 0, 150.71, 9868.39, 10021.85, 9953.29
2097152, 65536, 0, 198.93, 9978.37, 10100.98, 10053.73
4194304, 131072, 0, 390.38, 10212.24, 10299.35, 10246.37
8388608, 262144, 0, 775.22, 10299.56, 10342.72, 10319.72
16777216, 524288, 0, 1544.60, 10345.63, 10376.04, 10358.64
67108864, 2097152, 0, 6156.97, 10387.96, 10398.01, 10394.73
268435456, 8388608, 0, 24596.09, 10407.25, 10409.34, 10408.16
1073741824, 33554432, 0, 98353.40, 10411.25, 10411.69, 10411.43
