Data Size, Floats8, Extra Floats, t(us), min, max, avg (in MB/s)
1024, 32, 0, 20.24, 33.22, 50.55, 48.34
2048, 64, 0, 20.20, 80.43, 98.95, 96.72
4096, 128, 0, 21.15, 130.75, 197.12, 186.36
8192, 256, 0, 23.44, 241.24, 391.73, 342.25
16384, 512, 0, 27.34, 483.30, 750.66, 586.40
32768, 1024, 0, 27.41, 933.99, 1465.00, 1172.19
65536, 2048, 0, 31.42, 1775.90, 2713.26, 2011.96
131072, 4096, 0, 33.96, 3202.30, 4721.08, 3733.92
262144, 8192, 0, 33.18, 6729.48, 8305.51, 7541.26
524288, 16384, 0, 46.67, 10512.70, 11241.64, 10715.61
1048576, 32768, 0, 78.72, 10548.36, 13748.16, 12732.48
1572864, 49152, 0, 105.83, 13915.30, 14461.80, 14174.98
2097152, 65536, 0, 139.20, 14052.20, 14691.62, 14370.43
4194304, 131072, 0, 265.93, 14857.38, 15119.73, 15042.22
8388608, 262144, 0, 521.83, 15259.59, 15449.59, 15330.93
16777216, 524288, 0, 1036.51, 15352.40, 15496.67, 15436.43
67108864, 2097152, 0, 4103.78, 15574.58, 15613.77, 15595.38
268435456, 8388608, 0, 16369.15, 15636.75, 15641.41, 15639.18
1073741824, 33554432, 0, 65427.30, 15650.40, 15651.27, 15650.96
