Data Size, Floats8, Extra Floats, t(us), min, max, avg (in MB/s)
1024, 32, 0, 20.01, 45.25, 50.18, 48.82
2048, 64, 0, 20.07, 87.83, 99.70, 97.37
4096, 128, 0, 20.28, 151.35, 198.95, 192.83
8192, 256, 0, 19.95, 362.72, 404.12, 391.92
16384, 512, 0, 21.30, 535.93, 790.66, 742.86
32768, 1024, 0, 26.70, 960.31, 1448.64, 1200.29
65536, 2048, 0, 32.66, 1579.18, 2347.95, 1966.22
131072, 4096, 0, 39.81, 2988.54, 3241.58, 3140.89
262144, 8192, 0, 70.38, 3245.85, 3661.98, 3552.88
524288, 16384, 0, 123.37, 4023.40, 4084.42, 4052.96
1048576, 32768, 0, 229.07, 4324.50, 4389.13, 4365.49
1572864, 49152, 0, 335.36, 4424.20, 4494.87, 4472.88
2097152, 65536, 0, 440.71, 4502.65, 4553.64, 4538.13
4194304, 131072, 0, 864.36, 4615.93, 4639.42, 4627.71
8388608, 262144, 0, 1712.40, 4666.31, 4678.71, 4671.82
16777216, 524288, 0, 3404.26, 4694.97, 4702.08, 4700.00
67108864, 2097152, 0, 13550.16, 4721.89, 4724.65, 4723.19
268435456, 8388608, 0, 54130.44, 4729.11, 4729.55, 4729.32
1073741824, 33554432, 0, 216448.44, 4730.86, 4730.96, 4730.92
