Data Size, Floats8, Extra Floats, t(us), min, max, avg (in MB/s)
1024, 32, 0, 19.71, 40.16, 50.77, 49.58
2048, 64, 0, 19.62, 91.33, 102.48, 99.56
4096, 128, 0, 19.79, 179.32, 202.91, 197.41
8192, 256, 0, 19.76, 365.10, 406.30, 395.49
16384, 512, 0, 22.00, 488.98, 796.40, 727.74
32768, 1024, 0, 26.50, 965.94, 1453.42, 1210.14
65536, 2048, 0, 33.17, 1526.89, 2343.81, 1933.86
131072, 4096, 0, 39.86, 2902.02, 3324.42, 3137.06
262144, 8192, 0, 70.64, 3222.79, 3658.96, 3540.05
524288, 16384, 0, 123.44, 3976.66, 4125.28, 4050.87
1048576, 32768, 0, 229.17, 4319.75, 4413.23, 4363.67
1572864, 49152, 0, 335.23, 4452.51, 4494.87, 4474.52
2097152, 65536, 0, 440.78, 4517.86, 4548.34, 4537.47
4194304, 131072, 0, 864.19, 4619.87, 4644.42, 4628.63
8388608, 262144, 0, 1712.22, 4662.90, 4678.21, 4672.31
16777216, 524288, 0, 3403.96, 4697.40, 4706.95, 4700.40
67108864, 2097152, 0, 13550.34, 4722.33, 4723.78, 4723.13
268435456, 8388608, 0, 54130.06, 4728.93, 4729.52, 4729.35
1073741824, 33554432, 0, 216448.10, 4730.85, 4731.00, 4730.93
