Data Size, Floats, t(us), min, max, avg (in MB/s)
1024, 256, 81.068620, 0.66, 42.94, 38.90
2048, 512, 120.927330, 36.09, 52.38, 48.37
4096, 1024, 130.725830, 82.91, 96.21, 89.58
8192, 2048, 140.089880, 144.72, 177.01, 167.28
16384, 4096, 158.606780, 165.10, 318.16, 296.36
32768, 8192, 185.075800, 381.79, 535.65, 506.99
65536, 16384, 247.767720, 448.90, 793.75, 758.38
131072, 32768, 358.015590, 606.30, 1087.07, 1050.23
262144, 65536, 578.987160, 683.81, 1337.57, 1300.01
524288, 131072, 1008.482260, 900.95, 1530.40, 1490.78
1048576, 262144, 1844.603320, 1117.01, 1671.10, 1628.54
1572864, 393216, 2655.495890, 1080.65, 1742.77, 1697.29
2097152, 524288, 3570.739980, 1059.34, 1766.30, 1684.01
4194304, 1048576, 7939.410800, 912.03, 1784.65, 1566.58
8388608, 2097152, 16285.779980, 762.30, 1809.53, 1543.00
16777216, 4194304, 30655.099540, 975.60, 1825.85, 1606.28
67108864, 16777216, 125745.856320, 941.14, 1854.95, 1576.56
268435456, 67108864, 502303.815600, 871.44, 1789.93, 1546.75
1073741824, 268435456, 2038049.080340, 871.50, 1767.33, 1518.47
